,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.024949414655566216,0.015521983616054058,0.02032865583896637,0.028919823467731476,0.024434510618448257,0.018110832199454308,0.020182592794299126,0.02682090923190117,0.023417778313159943,0.02090074121952057,0.020320938900113106,0.029004625976085663,0.023704836145043373,0.025763897225260735,0.026033703237771988,0.02637893706560135,0.017913781106472015,0.028982283547520638,0.027718720957636833,0.02718978188931942,0.012380189262330532,0.0199422650039196,0.0237728338688612,0.018095746636390686,0.023422053083777428,0.025674864649772644,0.017518462613224983,0.014181087724864483,0.023100048303604126,0.026019712910056114,0.028569303452968597,0.019266720861196518,0.02267857827246189,0.018774347379803658,0.02824709191918373,0.02429281920194626,0.029836490750312805,0.01658378168940544,0.02026861347258091,0.01841028407216072,0.019984081387519836,0.01694003865122795,0.024798113852739334,0.025505738332867622,0.023405928164720535,0.02382734976708889,0.020038209855556488,0.027026666328310966,0.02011059783399105,0.020474152639508247
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,0.0880148857831955,0.09784859418869019,0.00982627086341381,0.08210937678813934,0.09868104755878448,0.12220846861600876,0.044046103954315186,0.1155368983745575,0.09185058623552322,0.10803346335887909,0.08377524465322495,0.09231317788362503,0.04313594847917557,0.030435457825660706,0.04186081513762474,0.0723038911819458,0.09687791019678116,0.05845877155661583,0.04622681438922882,0.0473865382373333,0.0785197913646698,0.10340060293674469,0.0960804894566536,0.07924038916826248,0.10602832585573196,0.07650121301412582,0.08714596927165985,0.07838478684425354,0.06068502739071846,0.066276915371418,0.01753194071352482,0.09844110161066055,0.09034837037324905,0.0918109267950058,0.06305525451898575,0.07767810672521591,0.11436783522367477,0.11983837932348251,0.03668916970491409,0.11859849840402603,0.10151182115077972,0.10968435555696487,0.11187819391489029,0.042581088840961456,0.10392208397388458,0.09325534850358963,0.0518559105694294,0.09802587330341339,0.016105422750115395,0.11604953557252884
10,0.11816406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.12535125017166138,0.13088122010231018,0.13699473440647125,0.05325370654463768,0.12147834151983261,0.06715040653944016,0.04718979075551033,0.08570944517850876,0.0762607529759407,0.13170839846134186,0.12217992544174194,0.12765191495418549,0.12802433967590332,0.13216203451156616,0.09718002378940582,0.03550616651773453,0.13297612965106964,0.1151425689458847,0.15995435416698456,0.07510067522525787,0.11010662466287613,0.07545007765293121,0.12446717917919159,0.09926994144916534,0.14803311228752136,0.09648604691028595,0.13473866879940033,0.14358456432819366,0.1092233881354332,0.10662632435560226,0.09558289498090744,0.0964178591966629,0.026806997135281563,0.08010988682508469,0.16195237636566162,0.02917507477104664,0.0713236853480339,0.07439717650413513,0.14666339755058289,0.1476273238658905,0.005966655444353819,0.11532782018184662,0.08063257485628128,0.10498881340026855,0.16377179324626923,0.013636419549584389,0.08524631708860397,0.1070932000875473,0.16226893663406372,0.12321174144744873
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
