,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.0038396210875362158,0.0030414878856390715,0.006097806617617607,0.0036016989033669233,0.011784975416958332,0.012554997578263283,0.0069176252000033855,0.010713350027799606,0.0044282241724431515,0.004798679146915674,0.006664572283625603,0.00916520319879055,0.0032781665213406086,0.00037148818955756724,0.009343353100121021,0.003027174388989806,0.0069323028437793255,0.007655911613255739,0.01178164966404438,0.006111188791692257,0.012166016735136509,0.007571319583803415,0.006808185484260321,0.011646381579339504,0.009349956177175045,0.01098890695720911,0.00012037157284794375,0.015129027888178825,0.013324384577572346,0.003366827731952071,0.005754468496888876,0.008651732467114925,0.005042965989559889,0.006316203624010086,0.0025816771667450666,0.0038569841999560595,0.0030788436997681856,0.0027874524239450693,0.0032220303546637297,0.00790296122431755,0.005247877445071936,0.0048815421760082245,0.0017179501010105014,0.0036891805939376354,0.01073461677879095,0.007352203130722046,0.003831571200862527,0.011796803213655949,0.0026477749925106764,0.003178460756316781
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0035420407075434923,0.006043878383934498,0.0023224360775202513,0.005213054362684488,0.008735068142414093,0.0008441948448307812,0.002854089718312025,0.0015388508327305317,0.0027366874273866415,0.005460863932967186,0.006878971587866545,0.00045769085409119725,0.004335382953286171,0.002053104341030121,0.00433355150744319,0.0033821642864495516,0.0022343997843563557,0.004985020961612463,0.0058904788456857204,0.004595755599439144,0.005095387808978558,0.00842339638620615,0.0012643057852983475,0.0022228648886084557,0.004402087535709143,0.006127027329057455,0.0018562559271231294,0.002723484765738249,0.005877472460269928,0.005055323243141174,0.009162518195807934,0.009342840872704983,0.0027052476070821285,0.0072671398520469666,0.0048909722827374935,0.0019554183818399906,0.004757164977490902,0.0037748715840280056,0.004035960882902145,0.003998339641839266,0.003035311121493578,0.005485537461936474,0.004146139603108168,0.006561918184161186,0.0030084603931754827,0.001121068256907165,0.004967358894646168,0.00332918344065547,0.0019035974983125925,0.0006172790890559554
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
