,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.019810408353805542,0.025725623592734337,0.017882296815514565,0.023657435551285744,0.020286800339818,0.026897307485342026,0.013935309834778309,0.01725960709154606,0.022429857403039932,0.013888264074921608,0.024651911109685898,0.015906741842627525,0.023452652618288994,0.01802486553788185,0.019258586689829826,0.023700842633843422,0.018959563225507736,0.006797720678150654,0.029320385307073593,0.01471865363419056,0.02611985243856907,0.021554211154580116,0.023050403222441673,0.02345646172761917,0.0238843634724617,0.020693032070994377,0.0216260626912117,0.023571213707327843,0.01936718262732029,0.012863662093877792,0.013139599934220314,0.023753685876727104,0.02225027047097683,0.024430446326732635,0.027304068207740784,0.019903002306818962,0.023596620187163353,0.027946848422288895,0.025157995522022247,0.028332334011793137,0.010790185071527958,0.019056687131524086,0.01597248576581478,0.01587977074086666,0.02297639288008213,0.01968497596681118,0.01344472449272871,0.027366653084754944,0.0160526093095541,0.01951366849243641
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0539439432322979,0.0779605284333229,0.09160982072353363,0.06313292682170868,0.091336190700531,0.06927365064620972,0.08852683752775192,0.059525664895772934,0.06368771940469742,0.10039978474378586,0.04220084846019745,0.07529616355895996,0.08061777055263519,0.08754188567399979,0.08824692666530609,0.07830415666103363,0.08452429622411728,0.09717166423797607,0.09320951998233795,0.08439672738313675,0.01503087766468525,0.07755056023597717,0.0883275493979454,0.047326698899269104,0.05953476205468178,0.09879432618618011,0.10960657894611359,0.11132722347974777,0.09023156762123108,0.06792376935482025,0.07686662673950195,0.08989297598600388,0.082759790122509,0.10095653682947159,0.09806854277849197,0.05911032110452652,0.08490500599145889,0.07147442549467087,0.07554894685745239,0.06322990357875824,0.08226187527179718,0.026204729452729225,0.022145960479974747,0.09332796931266785,0.06565888971090317,0.08191588521003723,0.02133842557668686,0.09678199142217636,0.07677485048770905,0.06736782193183899
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.1088542565703392,0.07537433505058289,0.11234617233276367,0.1038057953119278,0.059727441519498825,0.1158766970038414,0.11391077935695648,0.1371280401945114,0.07804065942764282,0.09678545594215393,0.08979371935129166,0.12653517723083496,0.0966872125864029,0.09940499067306519,0.10785112529993057,0.11368909478187561,0.13946332037448883,0.07743310928344727,0.09520574659109116,0.11098960041999817,0.02521071396768093,0.07200264930725098,0.11059820652008057,0.10356467962265015,0.10330381244421005,0.09963797777891159,0.08573774248361588,0.07419770210981369,0.06647603213787079,0.07950830459594727,0.04234004020690918,0.05426317825913429,0.09001532196998596,0.13999587297439575,0.12202813476324081,0.10533831268548965,0.10553696006536484,0.11156196147203445,0.10937825590372086,0.07605696469545364,0.09477037191390991,0.06577042490243912,0.05154202878475189,0.04220147058367729,0.11457983404397964,0.12371626496315002,0.08128849416971207,0.10686185956001282,0.05123234540224075,0.10466643422842026
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
