,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.006006542127579451,0.013244223780930042,0.019111935049295425,0.024996960535645485,0.027263177558779716,0.023574549704790115,0.008827158249914646,0.014765582978725433,0.023671353235840797,0.00848953053355217,0.010131102986633778,0.013501591980457306,0.016034789383411407,0.01274372823536396,0.02651113085448742,0.008378499187529087,0.006110439542680979,0.006995543837547302,0.01354663260281086,0.009630723856389523,0.003763449378311634,0.01755385287106037,0.022873368114233017,0.006609262432903051,0.018891451880335808,0.022760389372706413,0.01206406019628048,0.008073288947343826,0.013002416118979454,0.006647477857768536,0.008510831743478775,0.013146527111530304,0.001255018636584282,0.030692271888256073,0.009070123545825481,0.006919943727552891,0.004132434725761414,0.018979713320732117,0.014960980974137783,0.011726351454854012,0.008903530426323414,0.01820441521704197,0.007758506573736668,0.021279240027070045,0.015986952930688858,0.007942547090351582,0.005677239038050175,0.012644145637750626,0.00886613130569458,0.01950063928961754
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.002292199758812785,0.009649253450334072,0.013826640322804451,0.025819668546319008,0.01681908406317234,0.01061948947608471,0.012031514197587967,0.007097895257174969,0.020002108067274094,0.0015890082577243447,0.02459331974387169,0.0070432876236736774,0.005499579478055239,0.016172651201486588,0.03207708150148392,0.016045136377215385,0.016331735998392105,0.016744038090109825,0.011225193738937378,0.015322928316891193,0.018518760800361633,0.005922701209783554,0.011928887106478214,0.017694367095828056,0.017559919506311417,0.0029371550772339106,0.029275456443428993,0.008372476324439049,0.00455559603869915,0.022195063531398773,0.0028888715896755457,0.007035111542791128,0.022875269874930382,0.014436139725148678,0.006418770644813776,0.006655564531683922,0.011604979634284973,0.013051404617726803,0.013705133460462093,0.010832440108060837,0.008972009643912315,0.019361143931746483,0.017416516318917274,0.02031410112977028,0.02355916053056717,0.014112557284533978,0.0033956856932491064,0.018758969381451607,0.012407157570123672,0.01678425632417202
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
