,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.007312985602766275,0.009237473830580711,0.008926555514335632,0.009830997325479984,0.009582228027284145,0.002233883598819375,0.0025604183319956064,0.008730901405215263,0.010491428896784782,0.00301774637773633,0.006853398866951466,0.012013253755867481,0.005242352373898029,0.002692708047106862,0.00528921140357852,0.007003458682447672,0.012146353721618652,0.006945388857275248,0.008118881843984127,0.009418941102921963,0.005317495204508305,0.004203279968351126,0.01295862253755331,0.012550830841064453,0.01135560218244791,0.010748360306024551,0.004507408477365971,0.002063324674963951,0.01065155304968357,0.010979325510561466,0.014440082013607025,0.005757642909884453,0.00528914388269186,0.008697977289557457,0.01136469654738903,0.012028636410832405,0.004798328969627619,0.005010761320590973,0.012588568031787872,0.002649441361427307,0.006274635903537273,0.011439992114901543,0.014198088087141514,0.001457134960219264,0.009446345269680023,0.006640318315476179,0.0023527785670012236,0.007787003647536039,0.011839009821414948,0.004936675541102886
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0032496005296707153,0.00327162048779428,0.0015872038202360272,0.005395412910729647,0.0028431036043912172,0.0029534304048866034,0.003326178528368473,0.009798796847462654,0.007659740746021271,0.0029232779052108526,0.0013476019958034158,0.0030195966828614473,0.002498615998774767,0.006671656854450703,0.0027698746416717768,0.005184022244066,0.0019861033651977777,0.0014611156657338142,0.005481882020831108,0.005783919245004654,0.0031104402150958776,0.0034651628229767084,0.004909706301987171,0.002308358671143651,0.0033972621895372868,0.005253237206488848,0.002944574225693941,0.003877694485709071,0.006528857164084911,0.005700633395463228,0.0006269661244004965,0.0014233150286599994,0.002662316197529435,0.003477521939203143,0.008116360753774643,0.00213057198561728,0.002460070652887225,0.004082079511135817,0.00648541608825326,0.001147731440141797,0.0034138921182602644,0.002196886111050844,0.004451841115951538,0.0009985362412407994,0.0038136006332933903,0.0038520025555044413,0.0010241460986435413,0.005417224485427141,0.002954365685582161,0.0035901169758290052
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.0035224701277911663,0.0036308288108557463,0.0043830955401062965,0.004059680737555027,0.007013203576207161,0.006878927815705538,0.0034282421693205833,0.002892661141231656,0.0052481708116829395,0.005839985329657793,0.004079732578247786,0.0006224371609278023,0.001709161326289177,0.004722141195088625,0.001036801259033382,0.006187110673636198,0.006688571069389582,0.004416690673679113,0.0008786803809925914,0.004127733409404755,0.001898116315715015,0.002763270866125822,0.0019542439840734005,0.0044996547512710094,0.00446189334616065,0.007330704014748335,0.002663675229996443,0.0006690191221423447,0.0034527836833149195,0.0017773315776139498,0.0037620707880705595,0.003146145958453417,0.0032151846680790186,0.004053530283272266,0.003926018252968788,0.0017279855674132705,0.0021661086939275265,0.002464747754856944,0.0036299829371273518,0.002428323496133089,0.003947655204683542,0.0021750812884420156,0.005565941333770752,0.003166142152622342,0.0023661747109144926,0.0029933496844023466,0.0008066347800195217,0.004478386137634516,0.005426347255706787,0.01070560421794653
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.001794167561456561,0.0015492081874981523,0.005071927793323994,0.00490055326372385,0.005677746143192053,0.007783029228448868,0.0033456848468631506,0.004734087735414505,0.005602285265922546,0.00035035633482038975,0.004377545788884163,0.004551251418888569,0.0038933309260755777,0.003803076921030879,0.005736636929214001,0.003566069295629859,0.0019051587441936135,0.007884274236857891,0.004707548767328262,0.0028476298321038485,0.0014858815120533109,0.004750154912471771,0.0034507729578763247,0.0010549408616498113,0.002185399876907468,0.003058213973417878,0.005897991359233856,0.006043005734682083,0.004992660600692034,0.0018678124761208892,0.0037129989359527826,0.0023964615538716316,0.005718841217458248,0.002304141642525792,0.005609217565506697,0.005783404689282179,0.0015356680378317833,0.0005387130659073591,0.0047698416747152805,0.0007763577741570771,0.0019098295597359538,0.0028463932685554028,0.004381895065307617,0.0023711782414466143,0.00501677393913269,0.005485060159116983,0.0014378787018358707,0.0029301627073436975,0.0013388930819928646,0.005642901640385389
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.0031950902193784714,0.0021959375590085983,0.002400185912847519,0.0037525175139307976,0.0007252907962538302,0.0025277435779571533,0.0017305271467193961,0.006279303226619959,0.0008252112893387675,0.002069479087367654,0.006226486060768366,0.0024388397578150034,0.003332859603688121,0.0048388587310910225,0.003735737409442663,0.007598589640110731,0.004018970299512148,0.0023259148001670837,0.004381463397294283,0.002210999606177211,0.00036125240148976445,0.003161727450788021,0.003141988767310977,0.005120225716382265,0.00030826678266748786,0.0025376551784574986,0.004770846106112003,0.00392418447881937,0.003934024833142757,0.0021806054282933474,0.0024021256249397993,0.007455737330019474,0.004729722160845995,0.0043383934535086155,0.0019116123439744115,0.0010002434719353914,0.0021010776981711388,0.0025569351855665445,0.004235600121319294,0.004349307622760534,0.004634062759578228,0.002253365470096469,0.0036378647200763226,0.0032526031136512756,0.004396310541778803,0.005428150296211243,0.0022777265403419733,0.002468361519277096,0.0032498121727257967,0.0009544508648104966
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.00636364845559001,0.023119548335671425,0.03781508281826973,0.04827464744448662,0.04186438396573067,0.029764536768198013,0.020279154181480408,0.025203561410307884,0.030255818739533424,0.040153149515390396,0.0395050086081028,0.021332774311304092,0.002633957425132394,0.027916714549064636,0.03655798360705376,0.03821371868252754,0.023579558357596397,0.01313448790460825,0.020083032548427582,0.03611788898706436,0.03347022831439972,0.04836168885231018,0.04547741636633873,0.025373296812176704,0.03044128231704235,0.039206624031066895,0.05239614099264145,0.03295331820845604,0.011325502768158913,0.012051302008330822,0.017423788085579872,0.04663537070155144,0.022797318175435066,0.004206312820315361,0.046368177980184555,0.015652935951948166,0.014357022009789944,0.01870507001876831,0.029690947383642197,0.04733555018901825,0.02606799267232418,0.014952834695577621,0.028406374156475067,0.03804517909884453,0.029991451650857925,0.014776636846363544,0.021741745993494987,0.015133608132600784,0.031292326748371124,0.004310416989028454
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.390625,0.02426929771900177,0.005065344274044037,0.008845590986311436,0.012654708698391914,0.03948931768536568,0.009378808550536633,0.043730251491069794,0.022218091413378716,0.04689822345972061,0.02810562588274479,0.04188204184174538,0.02111087739467621,0.041114795953035355,0.011422717943787575,0.018997790291905403,0.009440706111490726,0.009571786969900131,0.04115903377532959,0.015386710874736309,0.02680067904293537,0.034611672163009644,0.018276464194059372,0.02884279377758503,0.02996278554201126,0.030061889439821243,0.014191458001732826,0.012474337592720985,0.01713372766971588,0.012995305471122265,0.010990101844072342,0.016705483198165894,0.025887468829751015,0.039176732301712036,0.02660435065627098,0.024993721395730972,0.03784341737627983,0.019508395344018936,0.0019239798421040177,0.027487970888614655,0.035817310214042664,0.005413421895354986,0.03601951524615288,0.0212175901979208,0.026489103212952614,0.022778529673814774,0.03260640799999237,0.022393692284822464,0.009502071887254715,0.013929200358688831,0.025101438164711
20,0.43066406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
