,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.003859922057017684,0.0014556278474628925,0.013578533194959164,0.012571730650961399,0.007529071532189846,0.01001637615263462,0.004947677254676819,0.0028886764775961637,0.015721632167696953,0.006246339064091444,0.0006589727126993239,0.0031646150164306164,0.007755682338029146,0.009565005078911781,0.009698825888335705,0.008879449218511581,0.0016088803531602025,0.003958400804549456,0.009318193420767784,0.013007760979235172,0.010329730808734894,0.007762896362692118,0.008267472498118877,0.018424952402710915,0.010930154472589493,0.00309556582942605,0.012760864570736885,0.009637847542762756,0.01207791455090046,0.0031432551331818104,0.0038013469893485308,0.012653435580432415,0.0027236572932451963,0.009718788787722588,0.007312589790672064,0.007218708749860525,0.0056238966062664986,0.007093760650604963,0.009826183319091797,0.004025748930871487,0.004182806238532066,0.010430038906633854,0.0029100566171109676,0.002976992866024375,0.004049287643283606,0.006107857916504145,0.0031818870920687914,0.009691580198705196,0.004738510586321354,0.0027005323208868504
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.004934267140924931,0.0013827371876686811,0.0058680991642177105,0.0023010035511106253,0.003930091857910156,0.003770550712943077,0.00458533177152276,0.005705076735466719,0.00586312310770154,0.0006714114570058882,0.004026919137686491,0.0072312490083277225,0.004015427082777023,0.002727784216403961,0.006392994429916143,0.004618080798536539,0.001736313453875482,0.004511423408985138,0.0013694950612261891,0.003996979910880327,0.001425142283551395,0.005669663660228252,0.0031682958360761404,0.006262769922614098,0.0017251295503228903,0.0017442551907151937,0.0007720584981143475,0.0026329760439693928,0.006941639352589846,0.004185949452221394,0.0037143428344279528,0.0036039575934410095,0.008366688154637814,0.0020903702825307846,0.005739414598792791,0.0037488199304789305,0.006869317963719368,0.003589870175346732,0.003668247489258647,0.003353046951815486,0.004394178278744221,0.0034374783281236887,0.0026641113217920065,0.006159420125186443,0.0034230919554829597,0.00042498717084527016,0.0011504002613946795,0.0030398087110370398,0.0010550441220402718,0.005096788518130779
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.006269014906138182,0.00349247339181602,0.0013111135922372341,0.0015883935848250985,0.007729902397841215,0.004367447458207607,0.007643138524144888,0.0021268075797706842,0.004481484182178974,0.002080450067296624,0.0032695934642106295,0.0004343392211012542,0.00340263987891376,0.002371456241235137,0.0014522597193717957,0.0007074219174683094,0.0035003372468054295,0.005116622895002365,0.0019588323775678873,0.003051851876080036,0.0022720536217093468,0.0026336810551583767,0.0017721661133691669,0.004483578260987997,0.005014677066355944,0.003159724874421954,0.005780292209237814,0.003690470475703478,0.006125165615230799,0.006970458664000034,0.005802200175821781,0.010982833802700043,0.00567966653034091,0.003094661980867386,0.004922681488096714,0.002510883379727602,0.005541213788092136,0.004660652484744787,0.0012415071250870824,0.006785414647310972,0.006538374349474907,0.003493279218673706,0.005810219794511795,0.005659251939505339,0.00040306709706783295,0.005274727940559387,0.0023338422179222107,0.0026430797297507524,0.003975927829742432,0.003496604971587658
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.0034124525263905525,0.0034085370134562254,0.0023152956273406744,0.0022011841647326946,0.0018543396145105362,0.005791746079921722,0.0012351364130154252,0.0008945570443756878,0.006768643390387297,0.002346748486161232,0.005969420541077852,0.005770837422460318,0.0018793201306834817,0.004896610043942928,0.003927823156118393,0.003435334423556924,0.0020055160857737064,0.0005907028680667281,0.004213580396026373,0.005308723542839289,0.004645830485969782,0.006411680020391941,0.0033193922135978937,0.0038479596842080355,0.005977096036076546,0.004131232853978872,0.004838763736188412,0.0031817432027310133,0.005758253391832113,0.007158370688557625,0.0028849232476204634,0.0039215087890625,0.0027163501363247633,0.002789126941934228,0.0011528980685397983,0.005823974031955004,0.002025547670200467,0.00400369381532073,0.003066113218665123,0.004786998964846134,0.0018391405465081334,0.004728690721094608,0.007361299358308315,0.002106713131070137,0.005245306063443422,0.00437859958037734,0.0025547670666128397,0.0011072912020608783,0.0017665202030912042,0.002300217980518937
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.005356959532946348,0.0016025931108742952,0.002870433498173952,0.004102928563952446,0.0019371622474864125,0.002563346177339554,0.00541816046461463,0.004048623144626617,0.0011221583699807525,0.0022260998375713825,0.002330607268959284,0.002215380547568202,0.0017533450154587626,0.0005981504218652844,0.002111661946401,0.0027599830646067858,0.002547816839069128,0.003926420118659735,0.0038067814894020557,0.0036068190820515156,0.0022059022448956966,0.0036485844757407904,0.0024149473756551743,0.005232650320976973,0.0030769547447562218,0.0057260021567344666,0.0030224774964153767,0.0019813894759863615,0.0037365322932600975,0.0032973894849419594,0.0017778842011466622,0.0043100896291434765,0.006023609545081854,0.0012582680210471153,0.0027124464977532625,0.002139432355761528,0.004086911212652922,0.002768694655969739,0.0025082651991397142,0.005315450485795736,0.002221965929493308,0.001714987913146615,0.002289817202836275,0.0013414217391982675,0.0036956947296857834,0.0018883754964917898,0.0012728996807709336,0.0016167962457984686,0.0009544630884192884,0.005612790584564209
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.025245502591133118,0.04553326591849327,0.013036184944212437,0.006794983986765146,0.02062229812145233,0.014240906573832035,0.016066554933786392,0.012529438361525536,0.0355893149971962,0.03561922907829285,0.038536395877599716,0.02325359731912613,0.038009267300367355,0.011548757553100586,0.01685752160847187,0.022705217823386192,0.012707679532468319,0.025753945112228394,0.029422735795378685,0.027724388986825943,0.01841839775443077,0.03075544908642769,0.010411676950752735,0.03695898503065109,0.05181742087006569,0.017179610207676888,0.04756517708301544,0.04087585583329201,0.02293400466442108,0.03111441433429718,0.01566837728023529,0.05801911652088165,0.03343130648136139,0.026292677968740463,0.04114214703440666,0.045201126486063004,0.06729874014854431,0.025527363643050194,0.031882718205451965,0.037119653075933456,0.0404328852891922,0.04482860118150711,0.04108024388551712,0.05014120787382126,0.02141733653843403,0.02650170587003231,0.018130900338292122,0.047109454870224,0.03090532310307026,0.007559329736977816
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.390625,0.02354247309267521,0.029599782079458237,0.01095796748995781,0.020905718207359314,0.015188632532954216,0.05406414344906807,0.020658668130636215,0.03311186656355858,0.028471417725086212,0.045779842883348465,0.01626712456345558,0.04364673048257828,0.040360063314437866,0.0314006581902504,0.036759719252586365,0.006921030580997467,0.03555353358387947,0.028772395104169846,0.006509976927191019,0.043630991131067276,0.037807002663612366,0.017342839390039444,0.02121426910161972,0.004882436245679855,0.006340541411191225,0.025488125160336494,0.03346606343984604,0.01822366937994957,0.013755351305007935,0.024449585005640984,0.013492628000676632,0.01978043094277382,0.017726654186844826,0.018209146335721016,0.037201374769210815,0.03400141000747681,0.0462091900408268,0.01731645129621029,0.012275336310267448,0.022994522005319595,0.022106751799583435,0.04418559372425079,0.018946101889014244,0.019185731187462807,0.02351064793765545,0.015353799797594547,0.017808765172958374,0.017640292644500732,0.028321709483861923,0.03353772312402725
20,0.43066406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
