,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.013081841170787811,0.003188063157722354,0.00417771190404892,0.0035107843577861786,0.007058969233185053,0.0051669767126441,0.0046033598482608795,0.00742713687941432,0.005804863292723894,0.0034767966717481613,0.0075317202135920525,0.0020519664976745844,0.007050530519336462,0.01576632633805275,0.0011854893527925014,0.0059910607524216175,0.00660695880651474,0.009693322703242302,0.005052154418081045,0.008659197948873043,0.01246635802090168,0.002030959352850914,0.005602965131402016,0.0029429616406559944,0.009603389538824558,0.003011048771440983,0.005129645112901926,0.007153303362429142,0.003262927522882819,0.008108525536954403,0.0046699875965714455,0.00851784460246563,0.0015609137481078506,0.00897828210145235,0.009234869852662086,0.0011081345146521926,0.00795031152665615,0.008875434286892414,0.007288326974958181,0.012714497745037079,0.011507963761687279,0.014848562888801098,0.004677611868828535,0.004383593797683716,0.006537482608109713,0.009432295337319374,0.013907497748732567,0.0035536789800971746,0.006585933733731508,0.011161879636347294
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.002890385454520583,0.004588342737406492,0.003557011019438505,0.009519651532173157,0.0020913772750645876,0.0008879002998583019,0.001008085091598332,0.0005174658144824207,0.002662642626091838,0.004700726363807917,0.00020889581355731934,0.0053488099947571754,0.008583438582718372,0.00225820136256516,0.0028097452595829964,0.005720708053559065,0.0068318648263812065,0.0036814173217862844,0.0024988828226923943,0.0018659563502296805,0.0018706899136304855,0.0017958965618163347,0.0026257678400725126,0.0019910766277462244,0.0014649772783741355,0.004925110377371311,0.0011078030802309513,0.0035138430539518595,0.005154792685061693,0.004612195771187544,0.0021086668130010366,0.0029261920135468245,0.004607546143233776,0.00848082173615694,0.005274663213640451,0.005894855130463839,0.0013983440585434437,0.003960253205150366,0.003970448859035969,0.0012390355113893747,0.0035056383349001408,0.005101400893181562,0.006316300947219133,0.002785216551274061,0.001814157934859395,0.003424158087000251,0.006194040644913912,0.0013883340870961547,0.003188743954524398,0.007076519075781107
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
