,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.008479975163936615,0.005915488116443157,0.023351741954684258,0.014236669056117535,0.005510701332241297,0.0045693498104810715,0.012319418601691723,0.012142754159867764,0.017254948616027832,0.021108143031597137,0.004989132285118103,0.02161964774131775,0.00888314563781023,0.00783701054751873,0.01602846011519432,0.0220728050917387,0.0188290998339653,0.0028549861162900925,0.006867751479148865,0.007933405227959156,0.014327118173241615,0.022616442292928696,0.005241176579147577,0.009259933605790138,0.007193229626864195,0.01094471849501133,0.009387808851897717,0.018232958391308784,0.009536676108837128,0.017890093848109245,0.021418903023004532,0.0008038321975618601,0.011787764728069305,0.026343269273638725,0.006412186659872532,0.002574622631072998,0.007558428682386875,0.010901768691837788,0.010663742199540138,0.010809252969920635,0.0015945920022204518,0.017187701538205147,0.003957987297326326,0.009110277518630028,0.010289749130606651,0.011241057887673378,0.017153099179267883,0.01300218515098095,0.008971146307885647,0.0063698128797113895
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0010134438052773476,0.0023149934131652117,0.004014546051621437,0.0035265320912003517,0.0012949485098943114,0.011373287066817284,0.004919352475553751,0.003198472782969475,0.001418380532413721,0.0009340063552372158,0.006833115592598915,0.002443922683596611,0.0018285870319232345,0.002505618380382657,0.0028042271733283997,0.0065311770886182785,0.0029276355635374784,0.004895194433629513,0.0037443998735398054,0.004872565157711506,0.003124282928183675,0.0024439096450805664,0.003749055089429021,0.0037154422607272863,0.00868036039173603,0.007240136153995991,0.005766218062490225,0.0058481269516050816,0.003833374474197626,0.0032297123689204454,0.0022958931513130665,0.00509707210585475,0.004843209870159626,0.007434001658111811,0.006170683074742556,0.011712947860360146,0.0029347315430641174,0.005019383039325476,0.009981554001569748,0.002002704655751586,0.007258923724293709,0.009051743894815445,0.005252194590866566,0.0034053006675094366,0.005871893838047981,0.0033658675383776426,0.0043498445302248,0.0013226679293438792,0.007084458135068417,0.0011125057935714722
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.002228486817330122,0.009880058467388153,0.001694176346063614,0.007028567139059305,0.001582424738444388,0.009645344689488411,0.0023489701561629772,0.004097890108823776,0.0026187747716903687,0.0023801408242434263,0.003554311580955982,0.0035095210187137127,0.0035077701322734356,0.0010282776784151793,0.0016870725667104125,0.0004740135627798736,0.0018692396115511656,0.001701406785286963,0.007847064174711704,0.0014365898678079247,0.0015323041006922722,0.0029293594416230917,0.006879786029458046,0.0063658710569143295,0.003878055838868022,0.0030915227252990007,0.000764899596106261,0.0020546710584312677,0.006009244825690985,0.002690936205908656,0.002338375663384795,0.0020888361614197493,0.002437911694869399,0.0035302615724503994,0.0004061560903210193,0.0003832907823380083,0.002816414460539818,0.0007133866893127561,0.0009885630570352077,0.008005334995687008,0.006383680272847414,0.007624386809766293,0.002991663757711649,0.004279926419258118,0.0030380291864275932,0.0012464049505069852,0.0034898866433650255,0.0012328741140663624,0.001703175250440836,0.003615575609728694
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.005569325760006905,0.009250297211110592,0.002263312228024006,0.0046651652082800865,0.0062818825244903564,0.0016378707950934768,0.0017038629157468677,0.004100274760276079,0.012400462292134762,0.0013146213022992015,0.003738484112545848,0.00530271977186203,0.007252664305269718,0.003815772943198681,0.001271957764402032,0.0048601976595819,0.004604079760611057,0.0033796951174736023,0.0031404339242726564,0.004698307253420353,0.0003562814090400934,0.0038630273193120956,0.0031784872990101576,0.004579825792461634,0.00618988461792469,0.004534491337835789,0.0025266779121011496,0.0037220525555312634,0.0036563281901180744,0.0025058991741389036,0.004832226317375898,0.003804024076089263,0.005082197953015566,0.0039582704193890095,0.006673872005194426,0.0058396849781274796,0.0010848500533029437,0.003324137767776847,0.009872645139694214,0.004112096503376961,0.0007721208385191858,0.0008521741256117821,0.002523258561268449,0.001574830268509686,0.004227075260132551,0.0016984421527013183,0.0029737374279648066,0.00478281918913126,0.004071480594575405,0.0013074198504909873
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.00016943899390753359,0.006692622322589159,0.0021270597353577614,0.00212933961302042,0.0048100692220032215,0.0042095910757780075,0.037153735756874084,0.0014293377753347158,0.012395299971103668,0.004524694290012121,0.03763633966445923,0.0023715896531939507,0.05072833597660065,0.0014049693709239364,0.0016346487682312727,0.005970421247184277,0.009277310222387314,0.004412481561303139,0.0006907928036525846,0.003506974782794714,0.006721552927047014,0.007439695298671722,0.02613215148448944,0.0013274222146719694,0.004878840409219265,0.0035767867229878902,0.0019383425824344158,0.004160376265645027,0.001963698770850897,0.017633160576224327,0.0007615306531079113,0.054202210158109665,0.026288388296961784,0.0020386618562042713,0.003314134432002902,0.006063433364033699,0.0024035247042775154,0.0013061129720881581,0.004434145521372557,0.0018838945543393493,0.002852068981155753,0.004160462412983179,0.027580061927437782,0.0024796442594379187,0.0014050595927983522,0.01913960836827755,0.0013249763287603855,0.002721417462453246,0.03277134895324707,0.00370236299932003
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.04448545351624489,0.07019702345132828,0.027978817000985146,0.005078798159956932,0.02183697558939457,0.020931655541062355,0.07740468531847,0.010610777884721756,0.027192067354917526,0.04114578664302826,0.008162769488990307,0.02515367977321148,0.04046117141842842,0.02661306969821453,0.05391625687479973,0.0539298914372921,0.019459659233689308,0.004839335568249226,0.03440064191818237,0.024807622656226158,0.03826332464814186,0.0179126039147377,0.00935744121670723,0.0030076841358095407,0.007935387082397938,0.021121559664607048,0.010189632885158062,0.05376739427447319,0.028414126485586166,0.03369081765413284,0.027479663491249084,0.011474955826997757,0.016745615750551224,0.01762109436094761,0.04295680671930313,0.019646119326353073,0.03270820900797844,0.0031627428252249956,0.04506723955273628,0.04250315576791763,0.06441094726324081,0.023821689188480377,0.04874277487397194,0.050761569291353226,0.021366164088249207,0.029282793402671814,0.030822018161416054,0.017349421977996826,0.01362625416368246,0.05211703106760979
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.390625,0.02360963448882103,0.031830575317144394,0.019823934882879257,0.042969029396772385,0.04658631235361099,0.027677763253450394,0.014777634292840958,0.023660574108362198,0.03253314644098282,0.07655906677246094,0.022951235994696617,0.012301050126552582,0.012869687750935555,0.021436091512441635,0.008165747858583927,0.009637068025767803,0.03146182373166084,0.03429752588272095,0.022328710183501244,0.009927472099661827,0.008001549169421196,0.053909171372652054,0.012851358391344547,0.08081107586622238,0.08240658044815063,0.01721799187362194,0.010397478938102722,0.05835440754890442,0.07235878705978394,0.014646484516561031,0.04724189639091492,0.00493984529748559,0.018895654007792473,0.011963725090026855,0.01923699676990509,0.03944894298911095,0.017051301896572113,0.030264776200056076,0.041874319314956665,0.02643037587404251,0.009934699162840843,0.026304524391889572,0.043367840349674225,0.015583451837301254,0.037791233509778976,0.04332023486495018,0.011667052283883095,0.010716416873037815,0.02620527520775795,0.02362651191651821
20,0.43066406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.47265625,0.017974285408854485,0.0370696559548378,0.02592984214425087,0.052456144243478775,0.062691330909729,0.05138283967971802,0.005431304685771465,0.01358666829764843,0.025480912998318672,0.06257840245962143,0.02753382734954357,0.016261760145425797,0.03797971457242966,0.028963370248675346,0.24677830934524536,0.0306504238396883,0.007647104095667601,0.001098820473998785,0.023890776559710503,0.005716776940971613,0.02435189113020897,0.021641703322529793,0.004140358418226242,0.01794384978711605,0.010805298574268818,0.016900045797228813,0.035440512001514435,0.09837329387664795,0.015131285414099693,0.01598256453871727,0.0364033542573452,0.02485378459095955,0.03394809737801552,0.06420156359672546,0.017682481557130814,0.030680695548653603,0.05305970087647438,0.012479633092880249,0.0263004582375288,0.042783886194229126,0.032733965665102005,0.013559598475694656,0.01260183472186327,0.040238283574581146,0.03573232889175415,0.06872235238552094,0.028642836958169937,0.05872847139835358,0.1073053777217865,0.015155589208006859
