,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.005477206315845251,0.011233767494559288,0.007462110836058855,0.0040970006957650185,0.005415069870650768,0.008732912130653858,0.005075560417026281,0.01615528203547001,0.007247395813465118,0.010326632298529148,0.003953933250159025,0.008153692819178104,0.004860868211835623,0.00515547301620245,0.0068310280330479145,0.0024325200356543064,0.005063870456069708,0.00680797453969717,0.0038843306247144938,0.011574857868254185,0.006284508388489485,0.006348602473735809,0.005698965862393379,0.003660316811874509,0.011984101496636868,0.00793824065476656,0.006691453512758017,0.006771944463253021,0.008387094363570213,0.005677061155438423,0.006550577934831381,0.003679317655041814,0.004870906472206116,0.0021869163028895855,0.008849065750837326,0.005904207471758127,0.0046941847540438175,0.0037541857454925776,0.003317180322483182,0.006979762110859156,0.0075335633009672165,0.006308876909315586,0.011022788472473621,0.0012484454782679677,0.0066395970061421394,0.00213815039023757,0.0027363975532352924,0.004641290288418531,0.007581937126815319,0.008423999883234501
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.003177579725161195,0.0029261098243296146,0.002853482263162732,0.0021179423201829195,0.007239067927002907,0.0025966675020754337,0.005384785123169422,0.00190738623496145,0.001384505070745945,0.0014337284956127405,0.0019055514130741358,0.0011416953057050705,0.006888056173920631,0.005878604017198086,0.003151021199300885,0.0018718910869210958,0.004989558830857277,0.0008965958841145039,0.004604823421686888,0.0007981542148627341,0.0029483127873390913,0.005199506413191557,0.007227764930576086,0.007733616046607494,0.0073188659735023975,0.004133845679461956,0.0004353565745986998,0.0018668744014576077,0.0013084578095003963,0.00838378258049488,0.009333883412182331,0.0018006250029429793,0.0012537043076008558,0.0005899478564970195,0.002824825467541814,0.004810405429452658,0.0028150053694844246,0.0029970472678542137,0.006991210859268904,0.004440683405846357,0.0038921188097447157,0.005050914827734232,0.005144479218870401,0.003766025183722377,0.001003088429570198,0.0070086088962852955,0.003253443632274866,0.0024346690624952316,0.003083270275965333,0.002319838386029005
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
