,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.00408366322517395,0.006609034258872271,0.012281267903745174,0.00469613540917635,0.011182399466633797,0.011035466566681862,0.008513729088008404,0.004005230497568846,0.003603243036195636,0.015317126177251339,0.008765584789216518,0.014517322182655334,0.011704953387379646,0.007274849805980921,0.006768655963242054,0.004107291344553232,0.00595414824783802,0.004082079976797104,0.018042584881186485,0.008076639845967293,0.012440454214811325,0.009745348244905472,0.005988059565424919,0.008332367986440659,0.006538907997310162,0.01099688932299614,0.00775911333039403,0.0034100867342203856,0.0065064518712460995,0.007652129512280226,0.002967103151604533,0.010503520257771015,0.010850115679204464,0.003671957878395915,0.008909711614251137,0.003847473068162799,0.0034243904519826174,0.0057962494902312756,0.0054290262050926685,0.009536775760352612,0.010095806792378426,0.002953288843855262,0.004259808920323849,0.004356104880571365,0.006006835028529167,0.0016752611845731735,0.0034200705122202635,0.005368600599467754,0.004373662173748016,0.007754398975521326
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0037292505148798227,0.003828712273389101,0.005756058730185032,0.0013107762206345797,0.003307910403236747,0.00338049978017807,0.0033927513286471367,0.005753394216299057,0.004175770096480846,0.0030075397808104753,0.002645063679665327,0.0016241269186139107,0.005901608150452375,0.0017234442057088017,0.004127741325646639,0.0042756120674312115,0.005042641423642635,0.00299664749763906,0.0033706147223711014,0.004277434200048447,0.0026823971420526505,0.003639811184257269,0.0034075009170919657,0.0037109965924173594,0.008317246101796627,0.005945843644440174,0.005132588092237711,0.010378073900938034,0.0040934388525784016,0.002681866753846407,0.006317498162388802,0.0029166352469474077,0.003682459471747279,0.0036827209405601025,0.004638301208615303,0.000525742070749402,0.004483602475374937,0.004599391482770443,0.005426372401416302,0.00319775752723217,0.0031337279360741377,0.002357593271881342,0.005042326170951128,0.002557589905336499,0.0039030236657708883,0.004866992123425007,0.002524522366002202,0.00217513763345778,0.0035166884772479534,0.0030990042723715305
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
