,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.008734915405511856,0.00226664450019598,0.010133831761777401,0.008021212182939053,0.005866349209100008,0.0038899495266377926,0.006543894298374653,0.007685453165322542,0.00861042644828558,0.00878173764795065,0.006749541033059359,0.0022777339909225702,0.0024413669016212225,0.00932442769408226,0.00846129935234785,0.006298365071415901,0.007395185995846987,0.006141373421996832,0.01003932859748602,0.0027575360145419836,0.004782677628099918,0.006032597739249468,0.007346928119659424,0.005559947341680527,0.022838812321424484,0.0017520253313705325,0.008074219338595867,0.009748770855367184,0.008335815742611885,0.006355802528560162,0.002558585721999407,0.004321950487792492,0.002036425517871976,0.006644034292548895,0.006938708946108818,0.003964092116802931,0.0032786752562969923,0.005795108154416084,0.005416599567979574,0.003851838642731309,0.009413500316441059,0.003828662447631359,0.004308720584958792,0.006530615035444498,0.0009020969155244529,0.0033065921161323786,0.006932274904102087,0.010110655799508095,0.009848568588495255,0.0033555778209120035
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.004908690229058266,0.0025647087022662163,0.006325866561383009,0.0022983402013778687,0.004352640360593796,0.003536601085215807,0.001522317063063383,0.006178298965096474,0.0033252283465117216,0.004121488891541958,0.010277114808559418,0.0033253279980272055,0.003144232090562582,0.002640356542542577,0.00971629936248064,0.005733799189329147,0.004149236250668764,0.003500703489407897,0.0030363779515028,0.0054906620644032955,0.005760446656495333,0.00448157312348485,0.001984531758353114,0.003999428823590279,0.0007057370967231691,0.006294796243309975,0.001665084739215672,0.005797287914901972,0.005363907665014267,0.0051460061222314835,0.008129567839205265,0.005054396577179432,0.004551945719867945,0.00698092021048069,0.005206382367759943,0.0031081861816346645,0.0018634473672136664,0.00858251005411148,0.003934488166123629,0.005773824639618397,0.0011100278934463859,0.004489334765821695,0.003110612276941538,0.0018913083476945758,0.0013474462321028113,0.0023209634236991405,0.005437456537038088,0.0023282752372324467,0.004537325352430344,0.006872240919619799
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.0029479716904461384,0.0034529524855315685,0.0057161347940564156,0.001970577286556363,0.003962912131100893,0.0006848325137980282,0.0007699060952290893,0.0033898865804076195,0.0018786005675792694,0.0033080794382840395,0.0035697331186383963,0.005713250488042831,0.0062178014777600765,0.002121726283803582,0.0024430404882878065,0.0062253596261143684,0.0025280776899307966,0.0013160017551854253,0.0026876479387283325,0.0032989804167300463,0.006382401566952467,0.001348113757558167,0.0021083271130919456,0.004844543524086475,0.003877842565998435,0.004266580566763878,0.005658524110913277,0.002084315987303853,0.0029596779495477676,0.0020930906757712364,0.007180036045610905,0.01010509766638279,0.0038978783413767815,0.0039811572059988976,0.001322744064964354,0.005204237066209316,0.0040048109367489815,0.004064151085913181,0.0030156683642417192,0.007002700585871935,0.003287704661488533,0.002978020813316107,0.0019762502051889896,0.004085211083292961,0.0051940809935331345,0.0033034037332981825,0.004843919537961483,0.0034734916407614946,0.005426103714853525,0.0064338925294578075
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.0062083229422569275,0.0018363179406151175,0.005655220709741116,0.00487552909180522,0.002240638015791774,0.005210711620748043,0.002656065160408616,0.0020953400526195765,0.004479723982512951,0.004206683486700058,0.0050274766981601715,0.0035719263833016157,0.0026446853298693895,0.0029287668876349926,0.0020046927966177464,0.0006391011993400753,0.003511965274810791,0.0016700346022844315,0.0021264739334583282,0.0020719552412629128,0.0016668218886479735,0.0023499655071645975,0.0017426485428586602,0.0024330089800059795,0.0032694179099053144,0.0013965050457045436,0.004106360021978617,0.0018326638964936137,0.008216798305511475,0.003768408205360174,0.0077470215037465096,0.00342531013302505,0.003962259273976088,0.002702258061617613,0.0013885499211028218,0.0029451758600771427,0.0021864979062229395,0.004005121532827616,0.0011544128647074103,0.004610881675034761,0.003895069006830454,0.005702212452888489,0.0019333845702931285,0.0020117543172091246,0.0021949175279587507,0.002051597461104393,0.0014937818050384521,0.004815623629838228,0.0074447449296712875,0.0013510767603293061
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.0005391924059949815,0.005738813430070877,0.004054731223732233,0.005880516953766346,0.0032152198255062103,0.002832614816725254,0.008644543588161469,0.004429385531693697,0.00368590303696692,0.004443005193024874,0.006863106042146683,0.003034200519323349,0.002133783185854554,0.0016689718468114734,0.005507586989551783,0.0043943230994045734,0.00534789590165019,0.0012011643266305327,0.0023171729408204556,0.007050471846014261,0.0023139026015996933,0.0033327285200357437,0.003359269816428423,0.003101931419223547,0.0025592248421162367,0.00809082668274641,0.0055304765701293945,0.002731847809627652,0.0008031668257899582,0.0022401015739887953,0.007979199290275574,0.001974410144612193,0.0037013052497059107,0.005155094433575869,0.0038163703866302967,0.000678317854180932,0.0022033059503883123,0.002899645594879985,0.0014129271730780602,0.00876150093972683,0.00536044267937541,0.004951147828251123,0.005230785347521305,0.00193519436288625,0.003309617517516017,0.0008377777994610369,0.0012329500168561935,0.004326797090470791,0.0064466167241334915,0.004863361362367868
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.0340048149228096,0.024785174056887627,0.0291474387049675,0.056977152824401855,0.0347604863345623,0.03201625868678093,0.0534433051943779,0.031587276607751846,0.02590152621269226,0.018101098015904427,0.05572759360074997,0.04701817035675049,0.05393045395612717,0.02080133929848671,0.051980502903461456,0.06333168596029282,0.053475577384233475,0.009302888996899128,0.03303363546729088,0.037756748497486115,0.03631298989057541,0.04371233284473419,0.03418596088886261,0.0605478510260582,0.0446309857070446,0.06964992731809616,0.0295913964509964,0.06446310132741928,0.0486803837120533,0.04095744341611862,0.04808080941438675,0.05129801109433174,0.03526454418897629,0.049247607588768005,0.0437304712831974,0.07485729455947876,0.0174404364079237,0.06898631155490875,0.054006628692150116,0.04494456574320793,0.03788719326257706,0.05729484185576439,0.05170927196741104,0.05504431575536728,0.04478224366903305,0.02751084417104721,0.04451146349310875,0.01736348494887352,0.04847988858819008,0.027913307771086693
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
