,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.016801191493868828,0.0235041044652462,0.02238430827856064,0.018830817192792892,0.025177277624607086,0.023863716050982475,0.015149137005209923,0.019548917189240456,0.019906049594283104,0.01786980964243412,0.005124266259372234,0.025086069479584694,0.025279000401496887,0.026327598839998245,0.024647900834679604,0.016299938783049583,0.028235159814357758,0.02483968995511532,0.018852952867746353,0.023891130462288857,0.020497528836131096,0.02457384020090103,0.02732275426387787,0.02171664871275425,0.019347304478287697,0.027737006545066833,0.023626156151294708,0.015015778131783009,0.025164607912302017,0.0207291878759861,0.02429976314306259,0.012018946930766106,0.02668590284883976,0.023909667506814003,0.023929167538881302,0.02023901231586933,0.009951511397957802,0.021263640373945236,0.025208016857504845,0.022833069786429405,0.018707584589719772,0.025917889550328255,0.015340075828135014,0.02185939811170101,0.026881562545895576,0.017771407961845398,0.014931128360331059,0.030441729351878166,0.025067808106541634,0.021288856863975525
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.06973818689584732,0.09403545409440994,0.08154501765966415,0.07984918355941772,0.01886904053390026,0.08858835697174072,0.05235707387328148,0.10948414355516434,0.07339334487915039,0.07555115222930908,0.04469161853194237,0.03153463080525398,0.10580336302518845,0.08732692897319794,0.08521384000778198,0.07660412043333054,0.06797563284635544,0.06822625547647476,0.09270215034484863,0.0948629081249237,0.0816025361418724,0.0773981362581253,0.09027552604675293,0.09182793647050858,0.07172708213329315,0.07310549914836884,0.08548185974359512,0.08190248161554337,0.06548185646533966,0.0797317698597908,0.08894281834363937,0.07538487762212753,0.08325973898172379,0.08598276972770691,0.062197472900152206,0.0826280266046524,0.058471959084272385,0.07005376368761063,0.09950105100870132,0.06399910897016525,0.058704763650894165,0.08816558122634888,0.05820556730031967,0.08952393382787704,0.04274092614650726,0.010555507615208626,0.04826340824365616,0.0455671064555645,0.030512437224388123,0.043267421424388885
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.09005936235189438,0.13251540064811707,0.10745713859796524,0.06308287382125854,0.0591801255941391,0.0782594382762909,0.09255649894475937,0.0543205700814724,0.083993099629879,0.08144214004278183,0.09139111638069153,0.10522975027561188,0.09155502915382385,0.09825076907873154,0.12304544448852539,0.10470808297395706,0.040390778332948685,0.12796221673488617,0.11326901614665985,0.039826735854148865,0.1398591548204422,0.03645225986838341,0.08243358880281448,0.1097579076886177,0.056105855852365494,0.10874377936124802,0.10738477110862732,0.10217965394258499,0.11473021656274796,0.08259543031454086,0.10028422623872757,0.08524607867002487,0.03908500075340271,0.09065870940685272,0.06080404669046402,0.09660419821739197,0.1466282457113266,0.10364624857902527,0.04484940320253372,0.06377803534269333,0.10948110371828079,0.11067643016576767,0.12720733880996704,0.09674995392560959,0.09106536954641342,0.10601918399333954,0.14364400506019592,0.0952184721827507,0.12296579778194427,0.10623245686292648
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.08795547485351562,0.09162253141403198,0.10008785128593445,0.1357576698064804,0.13120827078819275,0.0937090590596199,0.0929270014166832,0.1176813468337059,0.0871943011879921,0.05746826156973839,0.11031638830900192,0.12797079980373383,0.13389036059379578,0.1038375198841095,0.09670018404722214,0.11439685523509979,0.12060151994228363,0.12379574775695801,0.12544868886470795,0.10317297279834747,0.05982523784041405,0.05474099516868591,0.1306779384613037,0.14923638105392456,0.11461134254932404,0.15231969952583313,0.14247572422027588,0.05807461962103844,0.07396057993173599,0.13052767515182495,0.09915656596422195,0.05898318812251091,0.13853339850902557,0.09833866357803345,0.07189997285604477,0.14122246205806732,0.044423069804906845,0.13397453725337982,0.10534221678972244,0.07714282721281052,0.07059960067272186,0.11251183599233627,0.10119080543518066,0.10171973705291748,0.0699077695608139,0.11623138189315796,0.11592351645231247,0.061189569532871246,0.05865389481186867,0.019396984949707985
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.1542471945285797,0.1270199567079544,0.1345093548297882,0.13617268204689026,0.13125045597553253,0.09954392164945602,0.08413396775722504,0.15599945187568665,0.1218268871307373,0.176478773355484,0.1489066779613495,0.14066410064697266,0.1038646474480629,0.14066877961158752,0.0585784986615181,0.07707680016756058,0.048435866832733154,0.15327903628349304,0.09787607938051224,0.18313398957252502,0.12854401767253876,0.15072618424892426,0.07491686940193176,0.08870008587837219,0.06245017424225807,0.15059185028076172,0.1161118745803833,0.03093062713742256,0.0618867464363575,0.03775070235133171,0.10859101265668869,0.12323291599750519,0.10230585932731628,0.1492619663476944,0.08311613649129868,0.10981510579586029,0.13307859003543854,0.14412140846252441,0.07097454369068146,0.15241454541683197,0.09605401009321213,0.13601475954055786,0.10648997873067856,0.16460420191287994,0.16483406722545624,0.021122964099049568,0.1459106206893921,0.13425473868846893,0.13598909974098206,0.15561872720718384
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.17549562454223633,0.1389571875333786,0.15643170475959778,0.18055523931980133,0.11360907554626465,0.12889410555362701,0.1222459226846695,0.07390175759792328,0.18210622668266296,0.014755209907889366,0.1794246882200241,0.13061389327049255,0.17316605150699615,0.10611143708229065,0.14289997518062592,0.0912831723690033,0.15354259312152863,0.14083130657672882,0.10233402252197266,0.17484910786151886,0.02225922979414463,0.19877198338508606,0.13373945653438568,0.14548780024051666,0.010893899016082287,0.016701417043805122,0.16592517495155334,0.12369092553853989,0.16784313321113586,0.09450910985469818,0.12825480103492737,0.12449172884225845,0.1731928437948227,0.1334402859210968,0.06536786258220673,0.15009178221225739,0.13887111842632294,0.10422366857528687,0.06506475806236267,0.14304369688034058,0.14545339345932007,0.11185332387685776,0.1749878227710724,0.09168330579996109,0.16472043097019196,0.03975168988108635,0.15598993003368378,0.15785299241542816,0.1331426352262497,0.08001628518104553
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.390625,0.14674343168735504,0.11564826965332031,0.14603757858276367,0.15326924622058868,0.15829110145568848,0.16956155002117157,0.1888549029827118,0.1005605161190033,0.09634193032979965,0.11325724422931671,0.036604318767786026,0.14500606060028076,0.1083037257194519,0.11770490556955338,0.16865049302577972,0.18537300825119019,0.1357412040233612,0.08738740533590317,0.15961362421512604,0.13215862214565277,0.20769435167312622,0.165893092751503,0.16197004914283752,0.1609290987253189,0.052300047129392624,0.14453019201755524,0.15081839263439178,0.15862137079238892,0.1701398342847824,0.13925789296627045,0.07288537174463272,0.1650446206331253,0.2052529901266098,0.09879020601511002,0.08512711524963379,0.11989018321037292,0.06753887236118317,0.13906922936439514,0.20119203627109528,0.13873791694641113,0.077361561357975,0.1094549298286438,0.1658570021390915,0.13969087600708008,0.14043420553207397,0.08020048588514328,0.11025084555149078,0.19248700141906738,0.13795262575149536,0.16141974925994873
20,0.43066406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.47265625,0.0447719544172287,0.10189755260944366,0.19421695172786713,0.11122740805149078,0.15008644759655,0.14190572500228882,0.13913924992084503,0.108271025121212,0.09832537919282913,0.11270719766616821,0.1265765279531479,0.2097521871328354,0.1277463585138321,0.16917043924331665,0.15431323647499084,0.12228795886039734,0.12487508356571198,0.13204866647720337,0.12596184015274048,0.1322133094072342,0.18600699305534363,0.1136029064655304,0.1065286174416542,0.18042337894439697,0.16427767276763916,0.17712722718715668,0.033507805317640305,0.17459417879581451,0.09367372840642929,0.18201863765716553,0.19251088798046112,0.20102347433567047,0.18798252940177917,0.06603875011205673,0.10947069525718689,0.21425870060920715,0.10142281651496887,0.17741090059280396,0.0530991367995739,0.16200904548168182,0.2063063681125641,0.14198708534240723,0.12131121754646301,0.14800748229026794,0.18186092376708984,0.1671580672264099,0.09033770114183426,0.1540946364402771,0.20251871645450592,0.208269402384758
22,0.51660156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.5625,0.16316328942775726,0.053879331797361374,0.1561393141746521,0.16994743049144745,0.16349487006664276,0.19884003698825836,0.08891982585191727,0.20328713953495026,0.21563419699668884,0.21135678887367249,0.09030153602361679,0.06895410269498825,0.12310028821229935,0.06222245842218399,0.12784741818904877,0.08450683206319809,0.1742146909236908,0.2029322385787964,0.18434621393680573,0.1463402658700943,0.17440252006053925,0.14175006747245789,0.07724685221910477,0.13590823113918304,0.26340049505233765,0.05332346260547638,0.056255921721458435,0.07583780586719513,0.13595129549503326,0.11692173033952713,0.2196856290102005,0.13369259238243103,0.13331551849842072,0.1322450488805771,0.10581841319799423,0.09287828952074051,0.1190895065665245,0.06333395838737488,0.1747337132692337,0.20631027221679688,0.16001315414905548,0.16837550699710846,0.12104811519384384,0.1500272899866104,0.14024412631988525,0.22818589210510254,0.16029809415340424,0.1848168969154358,0.04063643515110016,0.1872856318950653
24,0.61035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.66015625,0.08729909360408783,0.062062300741672516,0.18182781338691711,0.18371687829494476,0.2052779346704483,0.16014280915260315,0.21381962299346924,0.18401606380939484,0.11759950965642929,0.15246504545211792,0.06540796160697937,0.19925342500209808,0.20809467136859894,0.2506207823753357,0.12038277834653854,0.06188812479376793,0.1995999813079834,0.20926037430763245,0.21158044040203094,0.15627846121788025,0.16809934377670288,0.05971642583608627,0.1230398491024971,0.1884782314300537,0.15664538741111755,0.08881037682294846,0.019257334992289543,0.20936715602874756,0.16777190566062927,0.23027056455612183,0.2168966382741928,0.19695265591144562,0.1774025857448578,0.13627022504806519,0.22705323994159698,0.09177802503108978,0.07720272988080978,0.21023021638393402,0.10680340975522995,0.22280745208263397,0.17867006361484528,0.22848136723041534,0.17809905111789703,0.20491084456443787,0.1835978776216507,0.16839581727981567,0.16776756942272186,0.146378755569458,0.08234742283821106,0.14135198295116425
