,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.017440760508179665,0.020939717069268227,0.027393199503421783,0.022178571671247482,0.01290187519043684,0.023852966725826263,0.021030763164162636,0.02313353307545185,0.026177536696195602,0.01703040674328804,0.023564448580145836,0.022770298644900322,0.016352292150259018,0.021859202533960342,0.01682376116514206,0.025058412924408913,0.025117330253124237,0.02190474234521389,0.026132240891456604,0.01636153645813465,0.027427950873970985,0.009227952919900417,0.02737542614340782,0.024298876523971558,0.019916942343115807,0.02616790682077408,0.02791851945221424,0.02270621433854103,0.028443593531847,0.02827126532793045,0.02216998301446438,0.019958872348070145,0.026372326537966728,0.02187441848218441,0.013023941777646542,0.01667202264070511,0.013951210305094719,0.025819355621933937,0.02009754069149494,0.023836970329284668,0.01896660216152668,0.021826408803462982,0.02801235392689705,0.016840357333421707,0.0192117877304554,0.02350466698408127,0.027477586641907692,0.014259015209972858,0.025632089003920555,0.02596106380224228
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.07917027175426483,0.03320266678929329,0.06651952117681503,0.06791000068187714,0.04210331663489342,0.03307907655835152,0.09024373441934586,0.09759636968374252,0.051750533282756805,0.08596065640449524,0.10660520941019058,0.1061260774731636,0.04188322275876999,0.09557148069143295,0.08927115797996521,0.08330453932285309,0.08249325305223465,0.07198566198348999,0.09066341817378998,0.08036922663450241,0.037913672626018524,0.07796942442655563,0.0769658237695694,0.047926489263772964,0.03887004405260086,0.07263000309467316,0.09624984860420227,0.11600352078676224,0.09095251560211182,0.06151765584945679,0.0616125650703907,0.05833149701356888,0.08620046079158783,0.08245223015546799,0.10002507269382477,0.04282756522297859,0.0336933434009552,0.07463745772838593,0.08730498701334,0.07047765702009201,0.01572914607822895,0.09405914694070816,0.08042032271623611,0.07344874739646912,0.06439544260501862,0.10226960480213165,0.04389973729848862,0.04547538980841637,0.08728723973035812,0.07498723268508911
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
