,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.008617314510047436,0.005902502685785294,0.0031559974886476994,0.0031457743607461452,0.0036512105725705624,0.008785737678408623,0.005801288411021233,0.008860202506184578,0.01012282632291317,0.0048949806950986385,0.008989695459604263,0.006560522131621838,0.014988584443926811,0.0047127678990364075,0.006634036544710398,0.005606846418231726,0.007144039496779442,0.005404236260801554,0.002950995694845915,0.012261169962584972,0.002784306649118662,0.0052985805086791515,0.00781904999166727,0.003364699659869075,0.005740391090512276,0.003097003558650613,0.0037085770163685083,0.012226171791553497,0.001232779584825039,0.003376794746145606,0.003991149831563234,0.0020933710038661957,0.005903958342969418,0.0121210478246212,0.007613763213157654,0.00507626635953784,0.0055318125523626804,0.010832976549863815,0.006339714862406254,0.0049048978835344315,0.0055846055038273335,0.0016998264472931623,0.013417765498161316,0.010165310464799404,0.00535333389416337,0.009488825686275959,0.008276985958218575,0.00760546512901783,0.0025039634201675653,0.002259509637951851
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0010858215391635895,0.0054512592032551765,0.0029493053443729877,0.0031344632152467966,0.004938520956784487,0.004939802456647158,0.0011386588448658586,0.002692869631573558,0.0034556868486106396,0.0014613900566473603,0.0011376104084774852,0.002099874196574092,0.0038838041946291924,0.004273225553333759,0.003501257626339793,0.004646668676286936,0.004465548787266016,0.0013298633275553584,0.002588717732578516,0.0033538828138262033,0.000609821465332061,0.0033862076234072447,0.0029287911020219326,0.0005290540284477174,0.0019699654076248407,0.005178498569875956,0.002359180012717843,0.004001155029982328,0.0034609942231327295,0.0024944054894149303,0.004666072782129049,0.005479850806295872,0.0038612817879766226,0.00322127528488636,0.004541362635791302,0.0021583151537925005,0.004654639400541782,0.004878319799900055,0.0033778862562030554,0.005032188259065151,0.004892234690487385,0.001442349050194025,0.002549830125644803,0.001143766101449728,0.003803316503763199,0.002514568855985999,0.002992044435814023,0.002381828846409917,0.004731329623609781,0.003275540191680193
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.004632743075489998,0.004516208078712225,0.004033546429127455,0.004972806200385094,0.0028708521276712418,0.004117687698453665,0.003982946276664734,0.0025440510362386703,0.004323318134993315,0.0041177766397595406,0.00425333296880126,0.002508171135559678,0.002692688722163439,0.004041691310703754,0.001549677224829793,0.0017395812319591641,0.003526215208694339,0.0022181186359375715,0.004578667692840099,0.0015779993264004588,0.0027573301922529936,0.004976975731551647,0.004735815804451704,0.0037433544639497995,0.0013067718828096986,0.0031139617785811424,0.004055385012179613,0.003915666602551937,0.0012018271954730153,0.00365868560038507,0.003317528171464801,0.00017601187573745847,0.00451575918123126,0.002169753424823284,0.0007201628759503365,0.0009969512466341257,0.001603950746357441,0.002028893446549773,0.0035458470229059458,0.004385738633573055,0.0022685080766677856,0.0035188114270567894,0.0041465419344604015,0.0022212679032236338,0.003668608143925667,0.0017234482802450657,0.004869225434958935,0.003619732102379203,0.0034463400952517986,0.0047177779488265514
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.0024483222514390945,0.0025752137880772352,0.003370949998497963,0.0025713490322232246,0.003886367194354534,0.000596972240600735,0.0041145747527480125,0.0037353576626628637,0.003475095611065626,0.0018794260686263442,0.0013956741895526648,0.0013329440262168646,0.0025404763873666525,0.002354206284508109,0.004206293262541294,0.003253927920013666,0.0022745258174836636,0.0040001412853598595,0.0027783967088907957,0.00354895181953907,0.001026635174639523,0.00029453597380779684,0.0020572636276483536,0.003364310134202242,0.002332641975954175,0.00030170174431987107,0.0025614656042307615,0.003365488024428487,0.004015730693936348,0.0038070762529969215,0.0012446881737560034,0.0006069924565963447,0.004089161287993193,0.0035305742640048265,0.004486508667469025,0.004558517597615719,0.0015386065933853388,0.0034667039290070534,0.0035533367190510035,0.0029891356825828552,0.0027307886630296707,0.004322004970163107,0.0033237081952393055,0.004574609454721212,0.002940261270850897,0.002698987489566207,0.004677190445363522,0.0007580227102153003,0.002296735066920519,0.0010778316063806415
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.004330216906964779,0.002616583602502942,0.003522351151332259,0.0021696763578802347,0.0033207875676453114,0.0042535243555903435,0.0019686974119395018,0.0014939099783077836,0.0020583930891007185,0.0012208889238536358,0.0015725619159638882,0.0015960497548803687,0.003812346374616027,0.004231964237987995,0.004109282977879047,0.0027682152576744556,0.0035936881322413683,0.0037249496672302485,0.0017503194976598024,0.002561314729973674,0.0019198424415662885,0.003132851794362068,0.002859785920009017,0.003147805342450738,0.003567433450371027,0.003895434318110347,0.0035609276965260506,0.0025486177764832973,0.0010789931984618306,0.0034401211887598038,0.0027521448209881783,0.0021939582657068968,0.0020010543521493673,0.0040055979043245316,0.002941421465948224,0.004194270353764296,0.0009005198953673244,0.002866338472813368,0.003614970948547125,0.0005727636744268239,0.003651454346254468,0.0025895340368151665,0.0037829927168786526,0.00031813490204513073,0.003286059945821762,0.0032085564453154802,0.0020867898128926754,0.0010921158827841282,0.004085890017449856,0.0007719016866758466
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
