,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.013881276361644268,0.0060961064882576466,0.007329545449465513,0.008003519847989082,0.00751554174348712,0.005144481081515551,0.006071482319384813,0.0009202064829878509,0.004894605837762356,0.0035213162191212177,0.007082819938659668,0.009798021055758,0.01125783659517765,0.0025757739786058664,0.00676747364923358,0.009644411504268646,0.010110498405992985,0.006520208902657032,0.002513830317184329,0.009229074232280254,0.00898661557585001,0.011895786970853806,0.008508335798978806,0.006437220145016909,0.01036485843360424,0.002020471030846238,0.00539028737694025,0.006923822686076164,0.0027772318571805954,0.0006891192751936615,0.006909424439072609,0.001753482618369162,0.0060837059281766415,0.005160949658602476,0.009619327262043953,0.011016779579222202,0.007378735113888979,0.009244700893759727,0.012446107342839241,0.0035864294040948153,0.005526016000658274,0.0024349908344447613,0.01343440543860197,0.011549947783350945,0.008699524216353893,0.009087063372135162,0.010187848471105099,0.002841169247403741,0.005493951495736837,0.001700073480606079
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.004757220391184092,0.009229104965925217,0.003444233676418662,0.003028537379577756,0.004019411746412516,0.007000751793384552,0.005870460066944361,0.002812022343277931,0.001933767576701939,0.0011020870879292488,0.0034026827197521925,0.003630017163231969,0.0033325832337141037,0.0047109080478549,0.004964815452694893,0.004151713568717241,0.0035348604433238506,0.0037396661937236786,0.0009039479191415012,0.0016961864894255996,0.004972758702933788,0.007991141639649868,0.005540122278034687,0.0036448847968131304,0.007517536170780659,0.0017350012203678489,0.0020504514686763287,0.0029975734651088715,0.004084041342139244,0.0035930690355598927,0.00586268724873662,0.003501985454931855,0.005209172144532204,0.004198233596980572,0.005555313546210527,0.007016260176897049,0.0011601404985412955,0.0012250564759597182,0.005943506024777889,0.004572734236717224,0.00536970654502511,0.006318904459476471,0.0036043275613337755,0.007398507557809353,0.0046444246545434,0.0037656587082892656,0.001903851400129497,0.003818903351202607,0.002845682203769684,0.001029062899760902
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
