,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.005348800681531429,0.008056160993874073,0.004194360692054033,0.009190929122269154,0.006274276413023472,0.007097169291228056,0.010054527781903744,0.010865512304008007,0.012824472971260548,0.00847347266972065,0.007234049495309591,0.006295412313193083,0.006694940384477377,0.007914339192211628,0.011504359543323517,0.003181768348440528,0.007549882400780916,0.004506244324147701,0.007134505547583103,0.00786525383591652,0.005605252925306559,0.0017618798883631825,0.011129768565297127,0.005813096649944782,0.007528027519583702,0.006716194096952677,0.0077238911762833595,0.005565773695707321,0.0011828731512650847,0.005397682078182697,0.006728646345436573,0.004263469949364662,0.006558837369084358,0.0023558116517961025,0.00899460818618536,0.008004981093108654,0.0028129220008850098,0.0051300725899636745,0.005680220201611519,0.0030151535756886005,0.0091822175309062,0.0063601769506931305,0.009822339750826359,0.006880125496536493,0.01445614080876112,0.012067684903740883,0.004507165867835283,0.005932963918894529,0.005863456055521965,0.005377843976020813
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.004219473339617252,0.006198732648044825,0.004472783301025629,0.004398076795041561,0.0046051060780882835,0.004481730051338673,0.0005131689831614494,0.0034283094573765993,0.0030110077932476997,0.0021110496018081903,0.006077888421714306,0.004627522546797991,0.0066263251937925816,0.0024408760946244,0.003413575002923608,0.0013752483064308763,0.0016138741048052907,0.007624153047800064,0.0017661303281784058,0.005501795094460249,0.0007246999884955585,0.005066549871116877,0.0035283449105918407,0.005292978137731552,0.007753858342766762,0.0035055363550782204,0.00913256499916315,0.0032182089053094387,0.0020721221808344126,0.005191388539969921,0.004351193085312843,0.002169061219319701,0.006400357000529766,0.005555255804210901,0.0023299783933907747,0.0025165120605379343,0.002178496215492487,0.006227793172001839,0.005315474700182676,0.003113872604444623,0.004261971917003393,0.0038539329543709755,0.004467426799237728,0.0018923459574580193,0.004905798472464085,0.003402373753488064,0.00363536668010056,0.0034273366909474134,0.005957072600722313,0.008453832939267159
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
