,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.00024414062,0.004756549838930368,0.0017431349260732532,0.004071682225912809,0.0032676593400537968,0.005434875842183828,0.003195221768692136,0.003505169181153178,0.0019064537482336164,0.0034337935503572226,0.007087761536240578,0.0021321505773812532,0.008481890894472599,0.0003522965998854488,0.0025460098404437304,0.0056993612088263035,0.0022697984240949154,0.004400935955345631,0.0024403708521276712,0.0017265626229345798,0.004174320492893457,0.002234413055703044,0.0015093961264938116,0.00300736166536808,0.001813432783819735,0.0022560851648449898,0.00506256427615881,0.0021988707594573498,0.0038390271365642548,0.0013977708294987679,0.001196378841996193,0.008132399059832096,0.0028663992416113615,0.0031700003892183304,0.0025971466675400734,0.005001230631023645,0.0033121707383543253,0.004543096758425236,0.007005840539932251,0.001501950086094439,0.0019519622437655926,0.006125477608293295,0.0004852799465879798,0.0037497146986424923,0.0013532552402466536,0.0032974136993288994,0.0027487087063491344,0.0008501164265908301,0.002608346985653043,0.005708799231797457,0.0033246902748942375
1,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0021972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.029541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.041259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.05493164,0.001444811001420021,0.0035718907602131367,0.0016514058224856853,0.0030475363600999117,0.0006087445071898401,0.0033304556272923946,0.0031499548349529505,0.002772328443825245,0.001586946309544146,0.0022221177350729704,0.0023800597991794348,0.0030101800803095102,0.001396465813741088,0.0010097069898620248,0.00037776067620143294,0.0015109684318304062,0.004363214131444693,0.0020576263777911663,0.002976701594889164,0.0009125075303018093,0.0010499445488676429,0.002657938515767455,0.002189385937526822,0.002400543075054884,0.0026650698855519295,0.0010340618900954723,0.004908780567348003,0.0020450488664209843,0.00350005179643631,0.001405565533787012,0.00173314253333956,0.0021993229165673256,0.0018390403129160404,0.0018491024384275079,0.001362566719762981,0.0016591086750850081,0.0007318957941606641,0.0022445805370807648,0.003182985121384263,0.0017616606783121824,0.002798456698656082,0.0017208298668265343,0.0014191484078764915,0.002699893666431308,0.0009741471149027348,0.002404147759079933,0.0016376295825466514,0.002194614615291357,0.0020409761928021908,0.0018449504859745502
15,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.07055664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.088134766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.107666016,0.002427431056275964,0.001412312500178814,0.001952383667230606,0.0001891368447104469,0.00036390707828104496,0.0019911429844796658,0.001312948646955192,0.0039305067621171474,0.0026521412655711174,0.0015516486018896103,0.001190587179735303,0.005653223488479853,0.0016468152171000838,0.002136118011549115,0.0015494187828153372,0.0016469304682686925,0.0005133869126439095,0.004223205614835024,0.0028197362553328276,0.0002800899092108011,0.00041204073932021856,0.0017862601671367884,0.00040748974424786866,0.0005671288236044347,0.0014317050809040666,0.0012967960210517049,0.0034238453954458237,0.0021382144186645746,0.0012305891141295433,0.002492203377187252,0.0012373621575534344,0.001586869708262384,0.002195668173953891,0.002498844638466835,0.002561011351644993,0.0035010480787605047,0.0027549017686396837,0.0010058954358100891,0.0026604519225656986,0.0018797555239871144,0.00028579679201357067,0.0020580498967319727,0.0021087611094117165,0.0004901794018223882,0.0015086955390870571,0.0023151342757046223,0.0019787775818258524,0.0002729209081735462,0.0023903425317257643,0.001023127231746912
21,0.11816406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.12915039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.15258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.16503906,0.002182857133448124,0.0007691052160225809,0.0031738693360239267,0.001433979719877243,0.0011528294999152422,0.0026102883275598288,0.0019265080336481333,0.0012830836931243539,0.002281246008351445,0.0031670029275119305,0.002092185663059354,0.0017337523167952895,0.0021903938613831997,0.0013229671167209744,0.002204423537477851,0.0009091894025914371,0.0012094168923795223,0.0017138957045972347,0.0018628706457093358,0.0011643868638202548,0.0010163369588553905,0.002326409798115492,0.0018669342389330268,0.0009889263892546296,0.002096898155286908,0.0019886414520442486,0.004735755268484354,0.001187384594231844,0.0008247467922046781,0.0008301956695504487,0.0004261863068677485,0.0030254763551056385,0.00327893765643239,0.002793883206322789,0.0022335245739668608,0.0004160818352829665,0.001394175924360752,0.00045989491627551615,0.0003353469364810735,0.0017410474829375744,0.000763607386033982,0.00235892366617918,0.0021242336370050907,0.0005259521421976388,0.0012733667390421033,0.0013858637539669871,0.002792934887111187,0.0019904414657503366,0.002926490269601345,0.002845373470336199
26,0.17797852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.19140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.20532227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.21972656,0.0011863106628879905,0.0007754068938083947,0.002469474682584405,0.0014813565649092197,0.0024919863790273666,0.0028322068974375725,0.0038049006834626198,0.0015704416437074542,0.001404086477123201,0.001081134774722159,0.0012675764737650752,0.0014265073696151376,0.0014672218821942806,0.002945391461253166,0.0011418642243370414,0.0016408908413723111,0.0031589351128786802,0.0011986398603767157,0.0021289358846843243,0.0005407696007750928,0.001990664517506957,0.0008760671480558813,0.0025059233885258436,0.0031953563448041677,0.002918414305895567,0.0027428483590483665,0.004851543344557285,0.0015105396742001176,0.002883847104385495,0.0008364628301933408,0.0017441351665183902,0.0030988582875579596,0.0030682634096592665,0.0026942898984998465,0.0010533760068938136,0.0009702621027827263,0.0034681991674005985,0.00253382814116776,0.0032070460729300976,0.0024345070123672485,0.002432248555123806,0.0019335231045261025,0.0012023987947031856,0.0022003445774316788,0.00046929751988500357,0.0009378492250107229,0.00030370953027158976,0.0016429773531854153,0.0017938462551683187,0.0014497609809041023
30,0.23461914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.26586914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
