,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.00024414062,0.0029533626511693,0.0074576460756361485,0.0032827246468514204,0.0024929523933678865,0.00047717441339045763,0.004079034086316824,0.0077889300882816315,0.0015780278481543064,0.0034052052069455385,0.00349285826086998,0.0016365000046789646,0.0026248511858284473,0.004241965711116791,0.0047828443348407745,0.0024112879764288664,0.0020634776446968317,0.0018695882754400373,0.00335657293908298,0.004335684701800346,0.00509039917960763,0.0005844937986694276,0.003691288875415921,0.00582774868234992,0.004718028008937836,0.0009491805685684085,0.0038741242606192827,0.002100075129419565,0.006516077555716038,0.002563496818765998,0.007225813809782267,0.004577334504574537,0.0021725690457969904,0.0015241041546687484,0.0023116418160498142,0.0031658720690757036,0.0011320622870698571,0.002640945604071021,0.002954426920041442,0.006454831454902887,0.003257304197177291,0.003894083434715867,0.003204415086656809,0.002301597036421299,0.007954473607242107,0.0014042149996384978,0.0061109657399356365,0.00410672090947628,0.002757702488452196,0.005574697162955999,0.00471450574696064
1,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0021972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.029541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.041259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.05493164,0.0013448098907247186,0.0029465369880199432,0.0025622777175158262,0.0034968846011906862,0.0011086430167779326,0.002121162135154009,0.0009159076143987477,0.0008903892594389617,0.0030624475330114365,0.0010471674613654613,0.0027669607661664486,0.003181122476235032,0.0022970535792410374,0.0008301794296130538,0.0029446089174598455,0.0011240615276619792,0.0028992597945034504,0.0010420480975881219,0.0009863250888884068,0.002682910766452551,0.0032438987400382757,0.0021668639965355396,0.0010598000371828675,0.0013760827714577317,0.0035346231888979673,0.00011209087097086012,0.002593351760879159,0.0033077639527618885,0.0022792622912675142,0.0012597593013197184,0.0026527587324380875,0.0018847096944227815,0.0035828067921102047,0.0037215473130345345,0.00037681098910979927,0.0011393316090106964,0.003986992873251438,0.0014418456703424454,0.0017417768249288201,0.0023759312462061644,0.003431502962484956,0.0009189917473122478,0.0024160060565918684,0.002023340668529272,0.0023142986465245485,0.0018886035541072488,0.0010453455615788698,0.003073998959735036,0.0011818504426628351,0.002350769704207778
15,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.07055664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
