,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.00024414062,0.009438053704798222,0.013768702745437622,0.012805841863155365,0.008056649938225746,0.011360923759639263,0.01572096161544323,0.009979146532714367,0.007974432781338692,0.011928708292543888,0.016985101625323296,0.01366652175784111,0.011525521986186504,0.010943260975182056,0.0063058617524802685,0.011125230230391026,0.00794503465294838,0.009502562694251537,0.0045623695477843285,0.005671176128089428,0.012496162205934525,0.012871121987700462,0.010242514312267303,0.012219516560435295,0.01041661947965622,0.007292503956705332,0.009629582054913044,0.012218326330184937,0.012735639698803425,0.009312671609222889,0.01078785676509142,0.014426695182919502,0.015727104619145393,0.011801447719335556,0.013401729054749012,0.016352977603673935,0.010448316112160683,0.008069584146142006,0.00860039982944727,0.010599623434245586,0.013574696145951748,0.009634354151785374,0.015655450522899628,0.013111022301018238,0.013260108418762684,0.01456937100738287,0.009279035963118076,0.010658296756446362,0.0185229554772377,0.010672109201550484,0.01420317217707634
1,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0021972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.029541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.041259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.05493164,0.02139565907418728,0.020423587411642075,0.019769737496972084,0.021207263693213463,0.023401709273457527,0.020470578223466873,0.020991535857319832,0.02408583275973797,0.022381529211997986,0.021464629098773003,0.02121770568192005,0.020659567788243294,0.021592212840914726,0.025488100945949554,0.02150583639740944,0.020667731761932373,0.021965116262435913,0.014993270859122276,0.020772550255060196,0.022530769929289818,0.021930372342467308,0.013409736566245556,0.01858474314212799,0.02089475467801094,0.020819345489144325,0.02385561913251877,0.019375430420041084,0.02180231548845768,0.02274128794670105,0.019874321296811104,0.024837268516421318,0.020687468349933624,0.022438781335949898,0.010144793428480625,0.02300906926393509,0.021811064332723618,0.021421361714601517,0.0201998520642519,0.02161732129752636,0.02256769873201847,0.01855556294322014,0.021128226071596146,0.019324488937854767,0.021044878289103508,0.0215176809579134,0.025019221007823944,0.024044569581747055,0.019273649901151657,0.026421282440423965,0.02077535167336464
15,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.07055664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.088134766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
