,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.00024414062,0.008175690658390522,0.008693545125424862,0.008556150831282139,0.009824259206652641,0.005285973660647869,0.010389287956058979,0.012398292310535908,0.007878871634602547,0.009596742689609528,0.008915955200791359,0.010707315988838673,0.008780167438089848,0.008060894906520844,0.004799710586667061,0.008559728041291237,0.011573247611522675,0.0082473149523139,0.01152705866843462,0.007446010131388903,0.0081816166639328,0.009863880462944508,0.00975942425429821,0.0048739411868155,0.011869163252413273,0.012152208015322685,0.012141489423811436,0.007182447239756584,0.010423648171126842,0.008346157148480415,0.011097867973148823,0.010218845680356026,0.012106363661587238,0.01314644142985344,0.008879936300218105,0.013429093174636364,0.008654218167066574,0.008910782635211945,0.009598670527338982,0.02152814157307148,0.005518095102161169,0.007073778659105301,0.01088051125407219,0.008619720116257668,0.010908244177699089,0.0072238449938595295,0.008015088737010956,0.010600891895592213,0.012249588035047054,0.009251691401004791,0.015828704461455345
1,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0021972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.029541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.041259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
