,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.00024414062,0.010988368652760983,0.01792677491903305,0.007330308202654123,0.009452289901673794,0.011772999539971352,0.010816073045134544,0.011168303899466991,0.011473508551716805,0.0057080090045928955,0.012282788753509521,0.011379100382328033,0.010108524933457375,0.015732087194919586,0.007268828339874744,0.014576222747564316,0.008593217469751835,0.007907089777290821,0.008072461001574993,0.005648259539157152,0.00896831788122654,0.01008809544146061,0.01752653159201145,0.008846333250403404,0.010946366004645824,0.012741345912218094,0.009208105504512787,0.012269374914467335,0.013525684364140034,0.008171834982931614,0.01867569237947464,0.012520279735326767,0.005605444777756929,0.00817068014293909,0.012622046284377575,0.015069801360368729,0.008625756949186325,0.013153860345482826,0.007382400333881378,0.011238555423915386,0.014281203038990498,0.008558128960430622,0.009151813574135303,0.01319124735891819,0.010455834679305553,0.008570926263928413,0.011015142314136028,0.010804504156112671,0.012498673051595688,0.011702748946845531,0.009298532269895077
1,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0021972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.029541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.041259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.05493164,0.02109251730144024,0.02733265608549118,0.025664929300546646,0.019379105418920517,0.021322401240468025,0.021950628608465195,0.022737378254532814,0.021436691284179688,0.02401045523583889,0.020274192094802856,0.022045660763978958,0.020970722660422325,0.01590137742459774,0.024015262722969055,0.02403755486011505,0.01992923766374588,0.024809954687952995,0.02204902283847332,0.026234589517116547,0.020663026720285416,0.021775124594569206,0.020038755610585213,0.019363265484571457,0.022701140493154526,0.02053210698068142,0.021511638537049294,0.020927805453538895,0.017278172075748444,0.02398933842778206,0.022021835669875145,0.019036022946238518,0.02240596152842045,0.020571405068039894,0.021052947267889977,0.024828985333442688,0.023055341094732285,0.019417792558670044,0.02047569863498211,0.020427817478775978,0.024389365687966347,0.024476690217852592,0.02254965715110302,0.01999060809612274,0.019900007173419,0.014728414826095104,0.023299289867281914,0.019983487203717232,0.02264622040092945,0.019531674683094025,0.02160380408167839
15,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.07055664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.088134766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
