,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.00024414062,0.0020475175697356462,0.00480615021660924,0.006717696785926819,0.0015467136399820447,0.0013637577649205923,0.0021763795521110296,0.0014828226994723082,0.005669276230037212,0.0022261268459260464,0.009754515253007412,0.0045419964008033276,0.005547164008021355,0.0034453636035323143,0.0026276279240846634,0.001739047234877944,0.008582621812820435,0.0021293614991009235,0.007112587336450815,0.006521076895296574,0.0021460605785250664,0.0013073242735117674,0.0040756347589194775,0.003142857225611806,0.0026946398429572582,0.00042529532220214605,0.006421579979360104,0.00225233961828053,0.003037652699276805,0.0022068277467042208,0.0030602733604609966,0.0025594602338969707,0.0013761197915300727,0.004051701165735722,0.00472749350592494,0.0018262204248458147,0.004236503969877958,0.0020179187413305044,0.0025938081089407206,0.0032647864427417517,0.0033116538543254137,0.0030090187210589647,0.002527795732021332,0.006516386289149523,0.002391899935901165,0.0015654510352760553,0.0002502895367797464,0.0028409366495907307,0.0034338594414293766,0.009096578694880009,0.003164598485454917
1,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0021972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.029541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
