,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.006663238164037466,0.009198548272252083,0.01439689565449953,0.00490199588239193,0.010059598833322525,0.00574373546987772,0.0006523478659801185,0.004257532302290201,0.0020342092029750347,0.008519895374774933,0.004903755150735378,0.004339828155934811,0.010519541800022125,0.004891440737992525,0.0036393855698406696,0.002819316927343607,0.0029438023921102285,0.006111639551818371,0.005452979821711779,0.0022421390749514103,0.006670166738331318,0.009240769781172276,0.004912369418889284,0.014482426457107067,0.00567246600985527,0.010244067758321762,0.003925318829715252,0.014347143471240997,0.0052253385074436665,0.003743115346878767,0.0033254462759941816,0.004767535254359245,0.0034389637876302004,0.012887035496532917,0.007514904718846083,0.0020779231563210487,0.0057993000373244286,0.014025909826159477,0.0034136741887778044,0.0020922874100506306,0.004963980056345463,0.011134542524814606,0.010746206156909466,0.006165322847664356,0.007971816696226597,0.0038538253866136074,0.0030302945524454117,0.002248794073238969,0.008013253100216389,0.008086680434644222
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0006359549006447196,0.0005812468007206917,0.0012297292705625296,0.003979421686381102,0.0031510458793491125,0.005638181231915951,0.00394799280911684,0.004139623139053583,0.005570797715336084,0.0010798018192872405,0.004382970277220011,0.005985655356198549,0.003868299536406994,0.008552856743335724,0.008618416264653206,0.004899413790553808,0.0016078549670055509,0.0025866315700113773,0.002954091178253293,0.0027267038822174072,0.0012419266859069467,0.0030794532503932714,0.0011329740518704057,0.0009280160302296281,0.0017614521784707904,0.0035838731564581394,0.0007917516632005572,0.007366709876805544,0.001781786442734301,0.00787422340363264,0.005211138166487217,0.003345703473314643,0.0017693364061415195,0.005068957339972258,0.002791803563013673,0.0015669475542381406,0.0037073504645377398,0.002460450166836381,0.00481845997273922,0.001289381762035191,0.004798726178705692,0.0019931751303374767,0.00287004467099905,0.005290726199746132,0.005533112213015556,0.002640268998220563,0.0055503686890006065,0.0006601766217499971,0.006390034686774015,0.005348486825823784
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
