,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.021948277950286865,0.03635397180914879,0.01771635003387928,0.035736337304115295,0.023571431636810303,0.021222252398729324,0.015369676984846592,0.027191970497369766,0.02445092424750328,0.018379533663392067,0.011458220891654491,0.009544558823108673,0.02580689825117588,0.025570834055542946,0.017931370064616203,0.015867525711655617,0.019140353426337242,0.021580403670668602,0.028011539950966835,0.015783315524458885,0.025282995775341988,0.01884598657488823,0.01841099187731743,0.023353703320026398,0.02288811095058918,0.030009161680936813,0.017490454018115997,0.028673337772488594,0.02231958694756031,0.025843357667326927,0.0232781283557415,0.016730912029743195,0.011958000250160694,0.01314577367156744,0.027831891551613808,0.020221607759594917,0.031308867037296295,0.019070791080594063,0.021015141159296036,0.02881575934588909,0.018385808914899826,0.015976693481206894,0.021483199670910835,0.026653911918401718,0.01719484105706215,0.018890380859375,0.02136905863881111,0.01775137148797512,0.016204675659537315,0.024302499368786812
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.03765978664159775,0.034714389592409134,0.03371189162135124,0.03968077525496483,0.03700782358646393,0.038687124848365784,0.0408431701362133,0.0423959419131279,0.030748039484024048,0.037521250545978546,0.035010017454624176,0.043288350105285645,0.04051799327135086,0.030757350847125053,0.03632444143295288,0.03607633709907532,0.0350746288895607,0.03573714941740036,0.03440190851688385,0.04053338244557381,0.036781731992959976,0.04152761399745941,0.04013274982571602,0.03701131418347359,0.038048673421144485,0.03688532114028931,0.03343372419476509,0.03655518963932991,0.04205309972167015,0.04305627569556236,0.03845455124974251,0.03379394859075546,0.03833627328276634,0.04379148781299591,0.04136199876666069,0.03924885019659996,0.040803756564855576,0.04032749682664871,0.035933829843997955,0.042433273047208786,0.04082510247826576,0.03416123986244202,0.03914434090256691,0.04814919829368591,0.03758447244763374,0.044091008603572845,0.03757206350564957,0.02935582399368286,0.039289362728595734,0.036037858575582504
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
