,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.0020341845229268074,0.002551552141085267,0.0024197748862206936,0.0034515135921537876,0.006861641071736813,0.005978605709969997,0.0026743276976048946,0.010334358550608158,0.010998224839568138,0.010093055665493011,0.004144249018281698,0.012836234644055367,0.008488613180816174,0.004915610887110233,0.007216045167297125,0.011480984278023243,0.006705702282488346,0.005772342439740896,0.00494422996416688,0.006473278161138296,0.003685804083943367,0.008289261721074581,0.007029950153082609,0.004729565232992172,0.0027444190345704556,0.0064154271967709064,0.0049438453279435635,0.00999502930790186,0.0037662661634385586,0.004606962203979492,0.012306956574320793,0.0064140185713768005,0.002497671404853463,0.000791576225310564,0.008425479754805565,0.009267131797969341,0.010230767540633678,0.008598176762461662,0.002793265273794532,0.008483337238430977,0.011771119199693203,0.009236935526132584,0.009383945725858212,0.004214771091938019,0.0044327289797365665,0.011681833304464817,0.0074041360057890415,0.005218178499490023,0.009670675732195377,0.007741380948573351
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.007644925266504288,0.007396062836050987,0.0021657447796314955,0.004279548767954111,0.0024616317823529243,0.0012657433981075883,0.00058169529074803,0.006343334447592497,0.004764334298670292,0.0028163453098386526,0.001552134403027594,0.0004907599068246782,0.004465925507247448,0.007081177085638046,0.0021771739702671766,0.0018081950256600976,0.005830136127769947,0.0026675029657781124,0.003395854262635112,0.005339526571333408,0.0019259672844782472,0.004789834842085838,0.00531623512506485,0.0004960052319802344,0.0013720981078222394,0.005794186145067215,0.005806287284940481,0.003183349734172225,0.006066194269806147,0.003213366726413369,0.0024757792707532644,0.003987869713455439,0.003585818689316511,0.006443031132221222,0.0027172171976417303,0.0047204033471643925,0.004407833330333233,0.001549860811792314,0.006612658500671387,0.0015032365918159485,0.004572694655507803,0.004600090440362692,0.0020626720506697893,0.006326780654489994,0.0012250117724761367,0.0028913530986756086,0.0026414438616484404,0.005138899199664593,0.004634001757949591,0.004504350014030933
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.008840660564601421,0.004022049717605114,0.004762431140989065,0.007175002247095108,0.005596308968961239,0.005402710754424334,0.004327394533902407,0.0023201494477689266,0.0043443902395665646,0.004044919740408659,0.003667897777631879,0.0031845332123339176,0.007721234578639269,0.004888045601546764,0.004175564274191856,0.004780401475727558,0.003486485918983817,0.005348592065274715,0.004542997106909752,0.005017219576984644,0.004961299244314432,0.004160716198384762,0.0028045387007296085,0.0066755348816514015,0.00563937658444047,0.005239360965788364,0.0057462118566036224,0.004261379595845938,0.005123831331729889,0.0019283650908619165,0.0025968977715820074,0.0028408023063093424,0.0009505969937890768,0.004840681329369545,0.006891483906656504,0.0033090633805841208,0.0033418675884604454,0.00171574333216995,0.003663953859359026,0.002845536218956113,0.0006284212577156723,0.006552449893206358,0.001052857842296362,0.006235531996935606,0.0025288399774581194,0.005322776734828949,0.00687362952157855,0.0016127023845911026,0.0022811819799244404,0.0036549833603203297
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
