,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.013634240254759789,0.014579937793314457,0.013718011789023876,0.011947141960263252,0.012415277771651745,0.010113619267940521,0.010475235991179943,0.005016081966459751,0.014615784399211407,0.013215137645602226,0.01110989972949028,0.011932929046452045,0.019166138023138046,0.023706000298261642,0.019625263288617134,0.01600715145468712,0.0008618388092145324,0.009681545197963715,0.012666032649576664,0.026587780565023422,0.01445858832448721,0.03401995822787285,0.012630810029804707,0.010775371454656124,0.011423816904425621,0.01232974138110876,0.0038568973541259766,0.01107117161154747,0.009771043434739113,0.01789313368499279,0.004008741118013859,0.019904647022485733,0.03350363299250603,0.010890211910009384,0.022387966513633728,0.010497497394680977,0.006826222874224186,0.03944632411003113,0.013278236612677574,0.01018507033586502,0.009011724032461643,0.018645895645022392,0.013257298618555069,0.004874659236520529,0.02764434739947319,0.011533128097653389,0.017703643068671227,0.009357750415802002,0.011870767921209335,0.004805917851626873
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.013052892871201038,0.0009129687678068876,0.006006411276757717,0.026881026104092598,0.01942579261958599,0.014697199687361717,0.018771419301629066,0.01285336073487997,0.00819922611117363,0.004402366932481527,0.010293836705386639,0.014749827794730663,0.02719385363161564,0.006711235269904137,0.00031179256620816886,0.011422837153077126,0.017351273447275162,0.015638679265975952,0.014555641449987888,0.0098538463935256,0.01941576972603798,0.01377590000629425,0.0034462767653167248,0.0020203792955726385,0.01597443036735058,0.022809090092778206,0.007397716864943504,0.026981286704540253,0.014712611213326454,0.001014121575281024,0.002675437368452549,0.01799691654741764,0.007680266164243221,0.0204975213855505,0.006481804419308901,0.02238408476114273,0.006885011680424213,0.011505954898893833,0.006823488511145115,0.014000552706420422,0.01824944280087948,0.006554012652486563,0.007103839889168739,0.011644420213997364,0.023450743407011032,0.02318359911441803,0.013046597130596638,0.023297319188714027,0.021164843812584877,0.015009290538728237
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.007790196221321821,0.03257264196872711,0.00980912335216999,0.012826738879084587,0.025479651987552643,0.01313746441155672,0.006972243078052998,0.010578925721347332,0.007704736199229956,0.011926981620490551,0.008942699991166592,0.007975215092301369,0.0055047194473445415,0.017078107222914696,0.01873103529214859,0.004077511373907328,0.014572050422430038,0.008098606951534748,0.018576279282569885,0.014823033474385738,0.024987829849123955,0.012497021816670895,0.00859177764505148,0.008353184908628464,0.02181992679834366,0.0023790583945810795,0.02943590097129345,0.029217753559350967,0.011694309301674366,0.009675632230937481,0.006892989855259657,0.015508340671658516,0.0130232572555542,0.005966493859887123,0.007946932688355446,0.004188463091850281,0.022680101916193962,0.007607758976519108,0.013902245089411736,0.027780702337622643,0.007551943883299828,0.011744776740670204,0.023003606125712395,0.012695129960775375,0.015817992389202118,0.012683768756687641,0.002727026818320155,0.022813210263848305,0.015840457752346992,0.00229659304022789
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
