,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.0025699054822325706,0.006718550343066454,0.004784478340297937,0.00905319582670927,0.01257839985191822,0.0038169031031429768,0.020601557567715645,0.011622306890785694,0.01676587015390396,0.020342206582427025,0.011019008234143257,0.0031822663731873035,0.011526377871632576,0.01571677438914776,0.013843282125890255,0.015215669758617878,0.030438166111707687,0.010078409686684608,0.020492032170295715,0.0048950850032269955,0.009275684133172035,0.010111742652952671,0.019757231697440147,0.01785936765372753,0.02255486324429512,0.01524348184466362,0.007931236177682877,0.035915181040763855,0.021881775930523872,0.021522851660847664,0.0036231724079698324,0.021371593698859215,0.005936061032116413,0.017505615949630737,0.019216198474168777,0.017904572188854218,0.02004975825548172,0.01868288591504097,0.01479763351380825,0.02676752582192421,0.006277581211179495,0.01581321284174919,0.012986431829631329,0.019006900489330292,0.02228795364499092,0.006283605936914682,0.020030677318572998,0.0063211009837687016,0.001126050716266036,0.00999667402356863
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.007964554242789745,0.026814676821231842,0.008032936602830887,0.014106289483606815,0.00712145259603858,0.033423639833927155,0.00616140803322196,0.006980711128562689,0.014560659416019917,0.01971197873353958,0.024188008159399033,0.015187650918960571,0.00929275806993246,0.007787936832755804,0.024180710315704346,0.015150511637330055,0.008526789955794811,0.014168733730912209,0.011858081445097923,0.013781261630356312,0.009577043354511261,0.0017518660752102733,0.023775070905685425,0.004208782687783241,0.030989522114396095,0.009693633764982224,0.028145695105195045,0.01740357279777527,0.021330874413251877,0.016275115311145782,0.012707866728305817,0.012234223075211048,0.00450635002925992,0.016994686797261238,0.019067134708166122,0.01444340031594038,0.012610462494194508,0.01642688736319542,0.010204392485320568,0.01042153686285019,0.033462319523096085,0.011710102669894695,0.015685344114899635,0.01865008845925331,0.002186359604820609,0.02641717903316021,0.015137044712901115,0.01046356838196516,0.010635772719979286,0.007335863076150417
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.017394864931702614,0.008758754469454288,0.0061679114587605,0.012886845506727695,0.017281223088502884,0.012169093824923038,0.017591681331396103,0.019509989768266678,0.012384382076561451,0.009092403575778008,0.011989913880825043,0.013330968096852303,0.008620403707027435,0.015132840722799301,0.00262640998698771,0.01009433250874281,0.00921674259006977,0.014688249677419662,0.022377101704478264,0.014246121048927307,0.021905750036239624,0.01985163614153862,0.028739703819155693,0.009493919089436531,0.006829145364463329,0.014409354887902737,0.019869495183229446,0.016104543581604958,0.024899711832404137,0.005382133647799492,0.006704793311655521,0.010464767925441265,0.015271308831870556,0.007350461091846228,0.01976047456264496,0.014771677553653717,0.012484901584684849,0.005956443026661873,0.0071006291545927525,0.01194747630506754,0.012848309241235256,0.02045263722538948,0.012373698875308037,0.015753474086523056,0.019226152449846268,0.015790550038218498,0.018138868734240532,0.017048180103302002,0.02568374201655388,0.011600625701248646
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.009279302321374416,0.01465580053627491,0.027852362021803856,0.021850835531949997,0.01834593154489994,0.014346101321280003,0.0029088398441672325,0.012344972230494022,0.015809396281838417,0.007247609086334705,0.009090420790016651,0.010733222588896751,0.022173773497343063,0.013872994109988213,0.0008860552334226668,0.015243247151374817,0.016815006732940674,0.014722302556037903,0.020993618294596672,0.007973438128829002,0.013297587633132935,0.006536325439810753,0.02169003337621689,0.018831411376595497,0.017439858987927437,0.019436178728938103,0.007378638256341219,0.006120928097516298,0.007602585945278406,0.012454959563910961,0.020046887919306755,0.005330622661858797,0.011345083825290203,0.0037584917154163122,0.011911544017493725,0.0033089788630604744,0.014371626079082489,0.00657601049169898,0.017925675958395004,0.010857656598091125,0.01679813303053379,0.013303193263709545,0.020960861817002296,0.007412842009216547,0.013409011997282505,0.014579021371901035,0.012640586122870445,0.005127450451254845,0.02223741076886654,0.0060020145028829575
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.02123570255935192,0.004082935396581888,0.007960893213748932,0.01306297816336155,0.009792916476726532,0.008696863427758217,0.028385834768414497,0.013437277637422085,0.007512391544878483,0.022153573110699654,0.0014706613728776574,0.01188912894576788,0.0044667525216937065,0.009144419804215431,0.012377586215734482,0.016201438382267952,0.016848772764205933,0.014282824471592903,0.007708453573286533,0.015115169808268547,0.02167349122464657,0.009997262619435787,0.01896318979561329,0.014487761072814465,0.007334182038903236,0.004971240647137165,0.00933762639760971,0.010801509954035282,0.0035478302743285894,0.025165731087327003,0.008163495920598507,0.003946028649806976,0.010065572336316109,0.012540473602712154,0.020830851048231125,0.0030544467736035585,0.006711516063660383,0.02255544438958168,0.01815018430352211,0.01952439174056053,0.006817814894020557,0.013031919486820698,0.01809389889240265,0.006966826971620321,0.030559297651052475,0.030842740088701248,0.022919705137610435,0.019452126696705818,0.02214781939983368,0.00524204783141613
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.007395366672426462,0.021394124254584312,0.008249737322330475,0.02100418321788311,0.025646748021245003,0.019055698066949844,0.008421008475124836,0.009140494279563427,0.007985459640622139,0.00947895459830761,0.01445145532488823,0.006346899550408125,0.0020625030156224966,0.012578119523823261,0.019979877397418022,0.009250926785171032,0.024179864674806595,0.008967484347522259,0.018084349110722542,0.011242946609854698,0.024889102205634117,0.013662273064255714,0.007764029782265425,0.006976939272135496,0.02672860398888588,0.0037470748648047447,0.00786174088716507,0.018175076693296432,0.032475341111421585,0.006407622247934341,0.029523730278015137,0.009169572964310646,0.006154076661914587,0.005920708179473877,0.014027162455022335,0.013097784481942654,0.015293244272470474,0.023668577894568443,0.022060833871364594,0.004847891163080931,0.024141939356923103,0.008784226141870022,0.01577332802116871,0.011871164664626122,0.013415500521659851,0.027209065854549408,0.01628841832280159,0.012555524706840515,0.014833851717412472,0.018141072243452072
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
