,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.02195657230913639,0.005572921130806208,0.006413695868104696,0.020644351840019226,0.006640356034040451,0.011836913414299488,0.01668829843401909,0.024419765919446945,0.01265045441687107,0.0176710095256567,0.010880446061491966,0.015989376232028008,0.004884644411504269,0.006858285050839186,0.014650472439825535,0.014391137287020683,0.013434362597763538,0.026298081502318382,0.02763730101287365,0.03134108707308769,0.01099083200097084,0.014961997978389263,0.008897227235138416,0.0013644818682223558,0.01046887505799532,0.03446165844798088,0.02808482199907303,0.01216614805161953,0.012926438823342323,0.006968384142965078,0.006648633163422346,0.01888342574238777,0.022842444479465485,0.01531282253563404,0.014315644279122353,0.01087323110550642,0.0244882944971323,0.009765030816197395,0.013954991474747658,0.008710624650120735,0.004151145461946726,0.017438925802707672,0.008277438580989838,0.017173396423459053,0.022958284243941307,0.004090547561645508,0.007430222816765308,0.012955905869603157,0.013830267824232578,0.004249340854585171
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.01706532947719097,0.004154197871685028,0.012168074026703835,0.006703125312924385,0.01499819103628397,0.02566915936768055,0.02238856628537178,0.011140760965645313,0.0277701448649168,0.013973969966173172,0.013841209933161736,0.007652886211872101,0.02651715651154518,0.023444734513759613,0.019397728145122528,0.014041607268154621,0.017722420394420624,0.0034006391651928425,0.008713296614587307,0.005253294948488474,0.018703650683164597,0.009015357121825218,0.013609771616756916,0.012729915790259838,0.013652697205543518,0.004379971418529749,0.007572024129331112,0.015350131317973137,0.00700262701138854,0.021693287417292595,0.01529238373041153,0.010197669267654419,0.010690233670175076,0.01759672537446022,0.003887615166604519,0.010339116677641869,0.013879843056201935,0.00802312046289444,0.020390311256051064,0.03110956959426403,0.011795048601925373,0.004337623715400696,0.009167700074613094,0.00783010944724083,0.008797087706625462,0.01294234860688448,0.01983819529414177,0.012176943011581898,0.016474593430757523,0.005718575324863195
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.024134254083037376,0.021039992570877075,0.0074473898857831955,0.005916576832532883,0.017870716750621796,0.015176501125097275,0.023818083107471466,0.001310167950578034,0.022027134895324707,0.017742697149515152,0.004429238382726908,0.004244612995535135,0.021982703357934952,0.005092861596494913,0.021170487627387047,0.008438002318143845,0.026795871555805206,0.0162498839199543,0.019885828718543053,0.029294360429048538,0.009531796909868717,0.014390341937541962,0.006358749233186245,0.009264640510082245,0.021271562203764915,0.02155294083058834,0.008630303665995598,0.020849576219916344,0.004116610158234835,0.019379189237952232,0.008417842909693718,0.007614190224558115,0.013505244627594948,0.015026905573904514,0.018263379111886024,0.03400339558720589,0.0111653758212924,0.012311862781643867,0.02018922008574009,0.011257097125053406,0.019141873344779015,0.019070960581302643,0.017611650750041008,0.018839143216609955,0.015595038421452045,0.017807502299547195,0.022034447640180588,0.024638717994093895,0.020201819017529488,0.009134480729699135
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.015900392085313797,0.02544572576880455,0.022515831515192986,0.015711532905697823,0.003263897728174925,0.010831281542778015,0.014792977832257748,0.02203945256769657,0.019640237092971802,0.0075629535131156445,0.014071309939026833,0.01052764430642128,0.005598224699497223,0.0034505922812968493,0.015668565407395363,0.01895325630903244,0.0029055795166641474,0.01071796752512455,0.012909505516290665,0.014201158657670021,0.004123704507946968,0.013493758626282215,0.019559869542717934,0.010847379453480244,0.010197268798947334,0.011907251551747322,0.010134934447705746,0.014486558735370636,0.01203741692006588,0.006029742304235697,0.027605045586824417,0.017425991594791412,0.007758883759379387,0.013992546126246452,0.006836203392595053,0.004916733596473932,0.007697975262999535,0.03476143628358841,0.022191831842064857,0.00966606568545103,0.012661009095609188,0.012688095681369305,0.0010440732585266232,0.018405886366963387,0.011870739050209522,0.00873197615146637,0.017443157732486725,0.013876019045710564,0.022671839222311974,0.011211230419576168
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.0171346478164196,0.013837563805282116,0.014185368083417416,0.020174801349639893,0.027950460091233253,0.013994474895298481,0.019924992695450783,0.02361779287457466,0.01769144833087921,0.006422811187803745,0.0119747593998909,0.014003818854689598,0.013511848635971546,0.005865327548235655,0.025201421231031418,0.010286192409694195,0.03970440849661827,0.005173047538846731,0.00900948140770197,0.003730932716280222,0.015087924897670746,0.005542817525565624,0.014760950580239296,0.015017231926321983,0.0036431807093322277,0.008129787631332874,0.020563093945384026,0.009651624597609043,0.01274639368057251,0.005738713778555393,0.015614600852131844,0.018882689997553825,0.017387477681040764,0.01366869080811739,0.005556281190365553,0.009515935555100441,0.008360069245100021,0.015088798478245735,0.001778068020939827,0.009526839479804039,0.0029590895865112543,0.005475752986967564,0.020872177556157112,0.008733191527426243,0.006223232019692659,0.021950341761112213,0.0053917886689305305,0.017500517889857292,0.00666544446721673,0.020027827471494675
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.010889919474720955,0.009402405470609665,0.017237449064850807,0.025469141080975533,0.01487043034285307,0.034533124417066574,0.011952018365263939,0.015902850776910782,0.001752401702105999,0.023570077493786812,0.008054832927882671,0.026805896311998367,0.009146894328296185,0.008180364035069942,0.02242785133421421,0.010792138986289501,0.007230913732200861,0.010593988932669163,0.01583331823348999,0.02743498422205448,0.006955475080758333,0.013816299848258495,0.018267588689923286,0.004910188727080822,0.004289295524358749,0.019439171999692917,0.014751656912267208,0.00951202679425478,0.011950558051466942,0.03637232258915901,0.012198367156088352,0.009769203141331673,0.012380109168589115,0.016767291352152824,0.014873572625219822,0.023391716182231903,0.03052622452378273,0.00970032811164856,0.004384556785225868,0.010437732562422752,0.007694109342992306,0.008537068963050842,0.014611229300498962,0.01080024242401123,0.033119771629571915,0.009663175791501999,0.017200613394379616,0.024300042539834976,0.0034975679591298103,0.01829809881746769
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.390625,0.010928088799118996,0.012470818124711514,0.013361035846173763,0.012362409383058548,0.008852502331137657,0.010355360805988312,0.02149500511586666,0.01658223569393158,0.011140726506710052,0.017222104594111443,0.006612274795770645,0.00817231647670269,0.002483358606696129,0.008154324255883694,0.011997300200164318,0.022699594497680664,0.02378084696829319,0.006982820108532906,0.018588460981845856,0.02344558574259281,0.004135414492338896,0.0038410646375268698,0.013320834375917912,0.004013020545244217,0.009286907501518726,0.012718034908175468,0.00793395284563303,0.01005332637578249,0.01054756436496973,0.005419592838734388,0.006641816813498735,0.012035422958433628,0.005506287328898907,0.027716422453522682,0.014872225932776928,0.0171815175563097,0.02177722193300724,0.0037128962576389313,0.019915927201509476,0.007583036553114653,0.014154077507555485,0.004038440063595772,0.014607572928071022,0.0055269175209105015,0.012961027212440968,0.00839797593653202,0.018590321764349937,0.026907283812761307,0.0174393430352211,0.004461056552827358
20,0.43066406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.47265625,0.0169148501008749,0.009075735695660114,0.005233530420809984,0.014928636141121387,0.0074121663346886635,0.012886300683021545,0.008948489092290401,0.016441266983747482,0.018807407468557358,0.018371189013123512,0.009408758021891117,0.014553836546838284,0.013552605174481869,0.014682924374938011,0.005301582161337137,0.03627347946166992,0.0025150550063699484,0.00879073329269886,0.010031242854893208,0.01685749739408493,0.009907540865242481,0.02205774560570717,0.012678730301558971,0.03444261476397514,0.01290812436491251,0.013662238605320454,0.009902105666697025,0.01550929807126522,0.0019867706578224897,0.018140949308872223,0.01650627702474594,0.01425477210432291,0.019357571378350258,0.00941343605518341,0.013617468997836113,0.02265860140323639,0.024776360020041466,0.010687969624996185,0.004529445432126522,0.006557029206305742,0.019293535500764847,0.00923103466629982,0.007503819186240435,0.016934353858232498,0.0046582710929214954,0.02323785424232483,0.02538652904331684,0.010310572572052479,0.01251997146755457,0.010470154695212841
22,0.51660156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.5625,0.016706040129065514,0.014199415221810341,0.006252297665923834,0.02890588529407978,0.026155324652791023,0.022766733542084694,0.029778238385915756,0.006063876673579216,0.01377163641154766,0.019768863916397095,0.014411511830985546,0.0126209557056427,0.010676977224647999,0.008841173723340034,0.009723125025629997,0.03726443275809288,0.01592099852859974,0.0052666012197732925,0.011814220808446407,0.011012576520442963,0.005856212228536606,0.016439007595181465,0.009498449973762035,0.019793596118688583,0.006597814150154591,0.029182011261582375,0.020693952217698097,0.010667388327419758,0.025478465482592583,0.011998984031379223,0.008796017616987228,0.009906251914799213,0.010094243101775646,0.015032772906124592,0.005443749018013477,0.011094852350652218,0.010592548176646233,0.010933944024145603,0.016726773232221603,0.010447912849485874,0.011680583469569683,0.014556866139173508,0.02150871977210045,0.009628496132791042,0.017427824437618256,0.013883723877370358,0.02497786097228527,0.028375793248414993,0.009196767583489418,0.018294136971235275
24,0.61035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.66015625,0.001907965401187539,0.01399225927889347,0.012469537556171417,0.007553883362561464,0.010083449073135853,0.013694311492145061,0.014534299261868,0.013774841092526913,0.0018747361609712243,0.016009937971830368,0.010045480914413929,0.01363455317914486,0.016232380643486977,0.018415575847029686,0.005898030009120703,0.0030954116955399513,0.018566712737083435,0.014374475926160812,0.010046856477856636,0.014739044941961765,0.010953382588922977,0.012805230915546417,0.004999146331101656,0.007054641377180815,0.017874825745821,0.006155241746455431,0.015128938481211662,0.00932955089956522,0.005969061050564051,0.019838565960526466,0.008930779993534088,0.021382851526141167,0.01565953716635704,0.010125633329153061,0.02253122068941593,0.019933631643652916,0.018831882625818253,0.019003715366125107,0.01862243004143238,0.009616591967642307,0.0013391774846240878,0.01919751800596714,0.021387586370110512,0.012589995749294758,0.024105381220579147,0.008217042312026024,0.012971099466085434,0.019648896530270576,0.006050048395991325,0.005312224850058556
26,0.71191406,0.005751838441938162,0.01828695647418499,0.01927359588444233,0.01042827870696783,0.014240571297705173,0.00755186565220356,0.012092750519514084,0.006853928789496422,0.01380104199051857,0.010474235750734806,0.004398792516440153,0.01103486493229866,0.011466548778116703,0.007757227867841721,0.006202033255249262,0.03809409961104393,0.01563389226794243,0.006952568423002958,0.006052199751138687,0.007877625524997711,0.0128317316994071,0.015487361699342728,0.009714942425489426,0.029690539464354515,0.0017443051328882575,0.01033980492502451,0.02360447682440281,0.013383757323026657,0.01383786741644144,0.009130693972110748,0.01454213634133339,0.018129389733076096,0.030505826696753502,0.01614450290799141,0.01883709989488125,0.00386976869776845,0.028883563354611397,0.009910421445965767,0.0067768339067697525,0.021658673882484436,0.02494615875184536,0.016994202509522438,0.007297923322767019,0.012343228794634342,0.00722840940579772,0.010345647111535072,0.009686282835900784,0.0031999184284359217,0.018860815092921257,0.011023790575563908
