,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.009639264084398746,0.007864868268370628,0.008398346602916718,0.002844741567969322,0.002574926009401679,0.0036042395513504744,0.00805401336401701,0.008965990506112576,0.014415225014090538,0.0007804083288647234,0.008693056181073189,0.00790663342922926,0.004885587375611067,0.013327420689165592,0.011868670582771301,0.0038542957045137882,0.01717248558998108,0.004730484914034605,0.007802007719874382,0.008575581014156342,0.006916172802448273,0.009805542416870594,0.016882237046957016,0.011917591094970703,0.013534534722566605,0.01732616126537323,0.005784889217466116,0.004433214198797941,0.006067553535103798,0.005876645911484957,0.013055647723376751,0.00919768400490284,0.0015643873484805226,0.006844751071184874,0.010814322158694267,0.004071446601301432,0.014083688147366047,0.004022075794637203,0.00591305224224925,0.001835210481658578,0.0041445475071668625,0.009348801337182522,0.004185850266367197,0.009129788726568222,0.001963226590305567,0.008862943388521671,0.009009399451315403,0.007887614890933037,0.00945112481713295,0.004796753171831369
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0034121465869247913,0.0013434470165520906,0.007118488196283579,0.003392137587070465,0.0034700820688158274,0.006638255435973406,0.005872958339750767,0.007950796745717525,0.0035160009283572435,0.009040826931595802,0.003103772411122918,0.0006231202278286219,0.0037907862570136786,0.0018573248526081443,0.0008442109101451933,0.005550689063966274,0.002089650835841894,0.003918102011084557,0.001569350017234683,0.00362269370816648,0.003282788209617138,0.0025315636303275824,0.0034816591069102287,0.006637685466557741,0.0032053343020379543,0.0053443447686731815,0.0024731596931815147,0.0047161877155303955,0.008423722349107265,0.006035592872649431,0.003688247874379158,0.0036078807897865772,0.0054068430326879025,0.004428649786859751,0.004992995411157608,0.007391007151454687,0.005572435911744833,0.0015013068914413452,0.0015890832291916013,0.002605050802230835,0.004151636268943548,0.003962874878197908,0.002386951120570302,0.006157267838716507,0.0036423583514988422,0.002733425237238407,0.003236423945054412,0.005017909221351147,0.002948722103610635,0.005540304351598024
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
