,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.010013746097683907,0.006541853304952383,0.011157269589602947,0.0017741366755217314,0.006663843989372253,0.008634009398519993,0.0021018600091338158,0.0014042089460417628,0.0026600260753184557,0.008149106986820698,0.004251249134540558,0.009794334881007671,0.002090977970510721,0.0024907735642045736,0.008461828343570232,0.007244294974952936,0.006319049745798111,0.008358530700206757,0.012276150286197662,0.006073417607694864,0.006127661094069481,0.00577174499630928,0.0041065760888159275,0.004676582757383585,0.007904901169240475,0.005226501263678074,0.007951161824166775,0.004238071385771036,0.008721735328435898,0.001172596588730812,0.007695288397371769,0.005452078301459551,0.018773214891552925,0.007896906696259975,0.004594495054334402,0.009289662353694439,0.011591730639338493,0.008779564872384071,0.007788215763866901,0.008271181024610996,0.006595342420041561,0.012519191950559616,0.004680710379034281,0.0066234031692147255,0.009308390319347382,0.022493727505207062,0.01614752970635891,0.0049277786165475845,0.012957466766238213,0.004562146496027708
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0048246742226183414,0.003725434886291623,0.008787941187620163,0.0004899282939732075,0.0033424529246985912,0.0032021417282521725,0.0020639440044760704,0.002089363755658269,0.006547851487994194,0.003914663568139076,0.005259574856609106,0.0011843284592032433,0.0024318110663443804,0.0018505877815186977,0.00298744416795671,0.0076762232929468155,0.0026214795652776957,0.003970149904489517,0.003187292255461216,0.002615993143990636,0.0006608609110116959,0.006224209908396006,0.0039977445267140865,0.005435172468423843,0.0050107939168810844,0.0014606679324060678,0.006834698840975761,0.004546959884464741,0.005562301725149155,0.003276467090472579,0.0024435650557279587,0.0008459179662168026,0.003643095027655363,0.0019440196920186281,0.005182330030947924,0.004050235729664564,0.004445255268365145,0.0029614558443427086,0.004731107968837023,0.0038295527920126915,0.007641549687832594,0.0018064953619614244,0.0022039925679564476,0.002862017136067152,0.004197156056761742,0.005369390826672316,0.0022872821427881718,0.004721681121736765,0.0013480324996635318,0.0032224231399595737
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
