,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.007841919548809528,0.0026367995887994766,0.006992288399487734,0.016233382746577263,0.006304664071649313,0.014667078852653503,0.005853619892150164,0.00682770274579525,0.0008979159174486995,0.007089008577167988,0.006783891469240189,0.005384174175560474,0.004692560061812401,0.012241207994520664,0.01180240884423256,0.007138432934880257,0.009977790527045727,0.00791657343506813,0.009975835680961609,0.010415049269795418,0.013904972933232784,0.006614010315388441,0.0018091914243996143,0.003153377678245306,0.006672088988125324,0.00517169339582324,0.00418707774952054,0.002204317832365632,0.007527519948780537,0.00799865648150444,0.0058477772399783134,0.0034516570158302784,0.011060857214033604,0.002310616197064519,0.003930007107555866,0.01048250962048769,0.005872537847608328,0.003475544275715947,0.009837647899985313,0.004647180438041687,0.019898734986782074,0.0054413145408034325,0.00887220073491335,0.007820948027074337,0.0034338945988565683,0.004751408472657204,0.016400393098592758,0.013000160455703735,0.0030438953544944525,0.005994281731545925
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.001840523793362081,0.002332050120458007,0.0015546915819868445,0.0038434944581240416,0.0019519521156325936,0.002526458352804184,0.0010589108569547534,0.006492322310805321,0.0029755167197436094,0.007021859288215637,0.004398701246827841,0.004795506596565247,0.003998747561126947,0.0028793097008019686,0.005516208242624998,0.004099857062101364,0.0033271529246121645,0.00775022292509675,0.005722333677113056,0.004136206582188606,0.0019513190491124988,0.0011336756870150566,0.005459981504827738,0.0026383106596767902,0.002776644891127944,0.005946158431470394,0.0034877911675721407,0.0022365357726812363,0.005284107755869627,0.0050782631151378155,0.004669062793254852,0.001192112104035914,0.0046085175126791,0.005920863710343838,0.008379151113331318,0.005264870822429657,0.0005755129386670887,0.0020452486351132393,0.0028670518659055233,0.003007061779499054,0.004834297113120556,0.002492686966434121,0.0031302759889513254,0.0020044201519340277,0.003975923638790846,0.003502176608890295,0.0033157363068312407,0.0043438514694571495,0.004096119198948145,0.006686562672257423
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.004117080941796303,0.0026296712458133698,0.004399083089083433,0.0019786336924880743,0.0008678107988089323,0.005700658541172743,0.003294575959444046,0.0038091132882982492,0.0051913135685026646,0.007256381679326296,0.001560740638524294,0.008167274296283722,0.003252313006669283,0.0011196929262951016,0.0027906286995857954,0.0018338988302275538,0.003795989789068699,0.003085094504058361,0.0029364798683673143,0.004045629408210516,0.0015481221489608288,0.004867635201662779,0.0037262418773025274,0.004099341109395027,0.0011767257237806916,0.001520147081464529,0.002368088811635971,0.0020332711283117533,0.00524026807397604,0.006649683695286512,0.006134145427495241,0.0022892942652106285,0.0020983503200113773,0.0050900764763355255,0.005016088020056486,0.0027611590921878815,0.003000752069056034,0.0007836417644284666,0.0023005942348390818,0.002398703247308731,0.007070230320096016,0.00681909779086709,0.003396053798496723,0.006146463565528393,0.0021947401110082865,0.0003131562261842191,0.004187976010143757,0.005636512767523527,0.005655190907418728,0.0035157357342541218
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.002568518975749612,0.0028053666464984417,0.007641181815415621,0.00279449881054461,0.005828978959470987,0.0046674348413944244,0.002846820978447795,0.0027175364084541798,0.0022114859893918037,0.0032955061178654432,0.0026072447653859854,0.0018211364513263106,0.0032608809415251017,0.0034881127066910267,0.0011420343071222305,0.0024212936405092478,0.003741247346624732,0.0052925716154277325,0.005442395340651274,0.0015985810896381736,0.0038122127298265696,0.0024149827659130096,0.005461192224174738,0.004550856538116932,0.0010047723772004247,0.0011568317422643304,0.0020385615061968565,0.0007306754705496132,0.0046335794031620026,0.0016878184396773577,0.003303726902231574,0.0028272047638893127,0.0062565584667027,0.0038239192217588425,0.005292108282446861,0.004042048938572407,0.0026502213440835476,0.003679601475596428,0.004019144456833601,0.006304687354713678,0.00464022159576416,0.0038437512703239918,0.004354048054665327,0.002857661573216319,0.005851728841662407,0.0029086468275636435,0.0025138230994343758,0.0008287247037515044,0.00011506176815601066,0.0068837483413517475
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.003241107100620866,0.0015352671034634113,0.0005593727109953761,0.005746631883084774,0.0033598642330616713,0.004119465127587318,0.0057539064437150955,0.007260807789862156,0.0017293925629928708,0.00400612922385335,0.0046401722356677055,0.005504846107214689,0.002388514345511794,0.0074178860522806644,0.002503154566511512,0.003620973788201809,0.0006723964470438659,0.006106538698077202,0.005622485186904669,0.008449436165392399,0.003896433627232909,0.0022407302167266607,0.0032112915068864822,0.004318991210311651,0.0023508002050220966,0.004978529643267393,0.0011333504226058722,0.003863813355565071,0.0018452038057148457,0.004537582863122225,0.003230385249480605,0.00583465164527297,0.0019489797996357083,0.0033039359841495752,0.001892021973617375,0.003919214475899935,0.00266322772949934,0.0019613318145275116,0.001228167093358934,0.0023469049483537674,0.0014588750200346112,0.0027545574121177197,0.0029669508803635836,0.0009198793559335172,0.0005552552756853402,0.003053609048947692,0.00236200331710279,0.0017372878501191735,0.005457805469632149,0.000706518825609237
