,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.008383221924304962,0.005987062118947506,0.0021331319585442543,0.003934586886316538,0.009090712293982506,0.007642354816198349,0.0023764020297676325,0.00959699135273695,0.003965800628066063,0.006703666411340237,0.011709596961736679,0.0010436921147629619,0.013583703897893429,0.0059557571075856686,0.0030744418036192656,0.006272532977163792,0.007676584646105766,0.003630315186455846,0.005336784292012453,0.008988719433546066,0.005958598107099533,0.008955552242696285,0.008816126734018326,0.012664688751101494,0.00648080138489604,0.003798265475779772,0.004422241356223822,0.006850421894341707,0.007315734401345253,0.00819255132228136,0.005278507247567177,0.005950271617621183,0.0011245834175497293,0.005269838497042656,0.01219385489821434,0.014068543910980225,0.015643058344721794,0.013137361966073513,0.0018903998425230384,0.0053771911188960075,0.006756206974387169,0.0022091474384069443,0.007366788107901812,0.011378681287169456,0.004192173480987549,0.010487314313650131,0.006626517977565527,0.0026091751642525196,0.005051974207162857,0.009025839157402515
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0031185143161565065,0.006700871512293816,0.0014750674599781632,0.003362595336511731,0.004450049716979265,0.0014600682770833373,0.0012846438912674785,0.005230901762843132,0.006612636614590883,0.005782153457403183,0.0036463721189647913,0.0020243588369339705,0.005384477786719799,0.003831316251307726,0.002609018236398697,0.004165965598076582,0.005407511256635189,0.0025537186302244663,0.0044470583088696,0.0010293793166056275,0.007891139946877956,0.0026100247632712126,0.0013242487329989672,0.0032673755194991827,0.00439436687156558,0.0012791892513632774,0.0010586994467303157,0.00499105965718627,0.002220690716058016,0.0037196571938693523,0.0031836621928960085,0.0031816919799894094,0.0018954924307763577,0.005219309125095606,0.004310919437557459,0.004565456882119179,0.001952941413037479,0.0015687976265326142,0.007024463731795549,0.0035973454359918833,0.006406271830201149,0.002867785980924964,0.005783212371170521,0.0027896263636648655,0.002087339526042342,0.0014794566668570042,0.0016589413862675428,0.0033109253272414207,0.0021243751980364323,0.004264673218131065
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.005120434332638979,0.0026517699006944895,0.006539386697113514,0.004482905380427837,0.004029363393783569,0.0052574267610907555,0.006872302852571011,0.00756794773042202,0.0054956297390162945,0.0018682063091546297,0.0011115241795778275,0.005336890462785959,0.002197682624682784,0.001554423593915999,0.0011372450971975923,0.0034764367155730724,0.006179844029247761,0.001980302855372429,0.005030026659369469,0.009230119176208973,0.0036580259911715984,0.005093582905828953,0.002862564753741026,0.00383673794567585,0.004147244151681662,0.006199398078024387,0.0021148044615983963,0.0051154447719454765,0.0010522763477638364,0.0025637499056756496,0.0008064617868512869,0.0038959053345024586,0.0054652271792292595,0.0019704122096300125,0.0022570709697902203,0.0013866416411474347,0.0074152653105556965,0.003128678072243929,0.00489661144092679,0.0026161489076912403,0.004632118623703718,0.0027737051714211702,0.0021884548477828503,0.003967890981584787,0.0009211697615683079,0.005422867834568024,0.003996644169092178,0.0050718155689537525,0.002605204237625003,0.0024318613577634096
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.007773798890411854,0.007829730398952961,0.0014567089965566993,0.0006395018426701427,0.00047292988165281713,0.007323609199374914,0.007158293388783932,0.0014396217884495854,0.002552563091740012,0.004860933870077133,0.004946807865053415,0.0015850509516894817,0.0016152478056028485,0.0032243214081972837,0.003669514786452055,0.0065398565493524075,0.004309868905693293,0.0005246447981335223,0.0032435005996376276,0.0024870948400348425,0.0010451063280925155,0.00234807888045907,0.003355706110596657,0.00443531246855855,0.006621933542191982,0.003932279534637928,0.0049100290052592754,0.004403818864375353,0.0034218253567814827,0.00733158877119422,0.003121626330539584,0.002941722981631756,0.0062639303505420685,0.003886235412210226,0.004251036327332258,0.0012280649971216917,0.0065612695179879665,0.003924376796931028,0.0010759052820503712,0.004625461995601654,0.00349861360155046,0.005103240255266428,0.0033165961503982544,0.008929049596190453,0.0019761575385928154,0.0029332845006138086,0.007413760758936405,0.0027610647957772017,0.007255725562572479,0.004126708954572678
