,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.0086572440341115,0.004650750197470188,0.0011508390307426453,0.009516865946352482,0.009364408440887928,0.0013565011322498322,0.004545336123555899,0.005722726229578257,0.0044278777204453945,0.0038338229060173035,0.007824622094631195,0.011258624494075775,0.012130732648074627,0.0076894452795386314,0.0035182186402380466,0.010401604697108269,0.004037009552121162,0.00877356342971325,0.01112830825150013,0.010056930594146252,0.006090911105275154,0.0019648123998194933,0.00577721418812871,0.005724376533180475,0.0048407092690467834,0.003154252888634801,0.00452421372756362,0.007600023876875639,0.009966671466827393,0.007685383316129446,0.003264538012444973,0.0034379304852336645,0.011688850820064545,0.009750161319971085,0.0046340469270944595,0.00288885785266757,0.009427761659026146,0.003327776910737157,0.011401236057281494,0.003247129963710904,0.005617843009531498,0.008745023980736732,0.007472966331988573,0.010147949680685997,0.009387950412929058,0.005748296156525612,0.009301075711846352,0.008883357048034668,0.008528762497007847,0.00850805826485157
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.006447687745094299,0.0013893155846744776,0.0028046471998095512,0.005924731492996216,0.005734381731599569,0.002177152782678604,0.001750592258758843,0.004027520772069693,0.002624709391966462,0.002329169074073434,0.002508520381525159,0.005448943469673395,0.005097775720059872,0.0026552595663815737,0.00539338868111372,0.0023824130184948444,0.002225104719400406,0.001961725065484643,0.001783338375389576,0.0028049293905496597,0.005652839317917824,0.0036169232334941626,0.004094832111150026,0.005739011336117983,0.0019095895113423467,0.007032575085759163,0.00446196086704731,0.005347262602299452,0.0015449454076588154,0.0025736610405147076,0.003662225790321827,0.006372120697051287,0.006132584530860186,0.002880626358091831,0.0008540073758922517,0.0027503096498548985,0.001186912297271192,0.005289420485496521,0.0042580412700772285,0.0034630445297807455,0.00750872353091836,0.0028907712548971176,0.003361170645803213,0.005055395886301994,0.0054399315267801285,0.008425326086580753,0.0015245943795889616,0.0047362023033201694,0.004559542052447796,0.005317688919603825
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.005074603948742151,0.0011032905895262957,0.004388278815895319,0.004666164517402649,0.0015954701229929924,0.003442518413066864,0.002627928275614977,0.0051420521922409534,0.0034348152112215757,0.004739026073366404,0.006672246381640434,0.000775403343141079,0.003016351256519556,0.001118453685194254,0.0016079918714240193,0.0032286278437823057,0.0058003817684948444,0.00036549035576172173,0.0068932087160646915,0.002789067104458809,0.005400433670729399,0.005454645957797766,0.0011392441811040044,0.0008846247219480574,0.0015409900806844234,0.004866211675107479,0.0031053025741130114,0.0028323286678642035,0.007075046189129353,0.010574255138635635,0.0028712458442896605,0.003822523867711425,0.003650975413620472,0.004782519768923521,0.005919789429754019,0.005193073768168688,0.002950644586235285,0.00040842636371962726,0.001189052825793624,0.005117078777402639,0.0029805339872837067,0.0012828903272747993,0.0011092068161815405,0.004534868989139795,0.005026040133088827,0.003852885216474533,0.0028838422149419785,0.0033600381575524807,0.0015905052423477173,0.005177828948944807
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.0034535094164311886,0.006686829961836338,0.004916475620120764,0.007789180614054203,0.005936107598245144,0.0033265198580920696,0.004268060438334942,0.0067891925573349,0.00043025906779803336,0.000863302091602236,0.00369278178550303,0.004938312340527773,0.004553711507469416,0.0031056825537234545,0.009587353095412254,0.0025947210378944874,0.00490100821480155,0.0057564000599086285,0.001575728878378868,0.006903807632625103,0.004002832807600498,0.0012025360483676195,0.0053452844731509686,0.005599866155534983,0.0034947791136801243,0.0046273996122181416,0.0021970015950500965,0.0028372567612677813,0.003834680886939168,0.0028386269696056843,0.004873509518802166,0.006991394329816103,0.00498237693682313,0.0026802532374858856,0.0031329914927482605,0.002630754839628935,0.0021236869506537914,0.0042706760577857494,0.006407431326806545,0.007874728180468082,0.004996839445084333,0.005405692383646965,0.0016791557427495718,0.0019655409269034863,0.001699149259366095,0.005059110000729561,0.003347837831825018,0.003943881019949913,0.0038788418751209974,0.0016752424417063594
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.0029508331790566444,0.005096179433166981,0.0022474697325378656,0.0024578312877565622,0.003582496428862214,0.0039614904671907425,0.004923289641737938,0.0032350702676922083,0.006264377385377884,0.0030359679367393255,0.002670037792995572,0.003319285111501813,0.003313853405416012,0.004478697199374437,0.0018203676445409656,0.002106524771079421,0.0018824499566107988,0.007975094020366669,0.005176835227757692,0.0037984633818268776,0.0009405955206602812,0.0056577203795313835,0.00040710557368583977,0.0051909880712628365,0.0029527717269957066,0.0039245435036718845,0.0014684153720736504,0.00660185981541872,0.006165140774101019,0.007529278751462698,0.006166950333863497,0.002797543304041028,0.004509000573307276,0.000505679112393409,0.007154623046517372,0.0032087035942822695,0.001747775706462562,0.003993022255599499,0.0034531468991190195,0.005240670870989561,0.0033712261356413364,0.0012422038707882166,0.006738041527569294,0.0031004019547253847,0.005681667476892471,0.007245099637657404,0.008826589211821556,0.0043672979809343815,0.008360871113836765,0.004875440616160631
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.08075671643018723,0.04210247844457626,0.0389290414750576,0.036762915551662445,0.07059575617313385,0.06137410178780556,0.06868168711662292,0.04540794715285301,0.018551237881183624,0.018484916538000107,0.06642752140760422,0.035368796437978745,0.020460929721593857,0.03706866502761841,0.08810154348611832,0.034848544746637344,0.055943913757801056,0.05867801234126091,0.02010537125170231,0.033256012946367264,0.07106208056211472,0.0521358884871006,0.043531227856874466,0.01572490856051445,0.029372282326221466,0.03580975905060768,0.02213469333946705,0.056026022881269455,0.07173653692007065,0.055983010679483414,0.01657441072165966,0.036311011761426926,0.05653761699795723,0.047105539590120316,0.06115004047751427,0.046998362988233566,0.07111837714910507,0.054365549236536026,0.04082470014691353,0.05497640371322632,0.05693872272968292,0.017039941623806953,0.04680753871798515,0.048782460391521454,0.009831264615058899,0.04919919744133949,0.029336176812648773,0.05808360129594803,0.028766077011823654,0.0553780123591423
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
