,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.015946563333272934,0.03778254613280296,0.022857364267110825,0.020448438823223114,0.010885367169976234,0.022148054093122482,0.026232197880744934,0.013343761675059795,0.011879783123731613,0.012271256186068058,0.015188812278211117,0.017596011981368065,0.022673726081848145,0.03809274360537529,0.010570380836725235,0.023584211245179176,0.013155543245375156,0.016115233302116394,0.020386608317494392,0.009499813430011272,0.011831605806946754,0.007900825701653957,0.016796031966805458,0.016326773911714554,0.003453208366408944,0.019847679883241653,0.017044072970747948,0.024647181853652,0.018294479697942734,0.028093555942177773,0.02005844935774803,0.01789434254169464,0.025322288274765015,0.01959165930747986,0.012965681962668896,0.018738947808742523,0.016329098492860794,0.022133732214570045,0.025452995672822,0.02140030451118946,0.02701379358768463,0.016680816188454628,0.008284383453428745,0.017157644033432007,0.024019096046686172,0.021814914420247078,0.012214446440339088,0.025357304140925407,0.028122078627347946,0.03623376786708832
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.1206764280796051,0.08713497966527939,0.0036323878448456526,0.08356182277202606,0.06109999120235443,0.07987475395202637,0.06572400778532028,0.016044069081544876,0.10022017359733582,0.09310813248157501,0.09758242964744568,0.08222252130508423,0.056350450962781906,0.052627723664045334,0.09635172039270401,0.09219095855951309,0.0632324367761612,0.0935516208410263,0.05388501659035683,0.010976110585033894,0.10723134130239487,0.05246148258447647,0.09212961047887802,0.07894230633974075,0.09778492152690887,0.07166896015405655,0.08050809055566788,0.09116429835557938,0.0779922679066658,0.07102518528699875,0.07480314373970032,0.07574518024921417,0.08426706492900848,0.05919622257351875,0.048475559800863266,0.08864294737577438,0.05642126128077507,0.08181533962488174,0.0854911133646965,0.049962159246206284,0.039751674979925156,0.09037315845489502,0.08035235852003098,0.05966099724173546,0.05199635028839111,0.08767706900835037,0.10871121287345886,0.08300996571779251,0.08969458937644958,0.06632786244153976
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
